mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	f.i{				f	i		i	i						{	m	1	1	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.125	0.875	0.125
1	1	1/4	1/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	2	0.0	0.0	0.25	0.0
1	1	1/2	1/2	4/4	4	1	V(4)				f	i		V(4)	V			4				M	1	1	0, -1, 1		0	0	1	3	0.25	0.125	1.125	0.1
1	1	3/4	3/4	4/4	4	1	V6				f	i		V6	V		6					M	1	1	4, 1, 0		0	4	0	3	0.0	0.0	0.5	0.0
2	2	0	0	4/4	4	1	i(9)				f	i		i(9)	i			9				m	1	1	-1, -4, 0	1	-1	-1	0	5	0.0	0.0	1.75	0.0
2	2	1/4	1/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	4	1	V(4)/III				f	i		V(4)/III	V			4	III			M	1	1	-3, -4, -2		-3	-3	1	3	0.25	0.125	1.125	0.1
2	2	3/4	3/4	4/4	4	1	V6/III				f	i		V6/III	V		6		III			M	1	1	1, -2, -3		-3	1	0	3	0.0	0.0	0.5	0.0
3	3	0	0	4/4	4	1	III(9)				f	i		III(9)	III			9				M	1	1	-4, 0, -3	-2	-4	-4	0	5	0.0	0.0	1.5	0.0
3	3	1/4	1/4	4/4	4	1	III6				f	i		III6	III		6					M	1	1	0, -3, -4		-4	0	0	4	0.0	0.0	0.75	0.0
3	3	1/2	1/2	4/4	4	1	iv(9)				f	i		iv(9)	iv			9				m	1	1	-2, -5, -1	0	-2	-2	0	4	0.0	0.0	1.0	0.0
3	3	3/4	3/4	4/4	4	1	iv6				f	i		iv6	iv		6					m	1	1	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.75	0.0
4	4	0	0	4/4	4	1	V(97)				f	i		V(97)	V			97				M	1	1	0, 4, 1	-5, -2	0	0	1	6	0.14285714285714285	0.125	1.5	0.07692307692307693
4	4	3/8	3/8	4/4	4	1	#viio6				f	i		#viio6	#vii	o	6					o	1	1	1, -2, 4		4	1	0	3	0.0	0.0	0.375	0.0
4	4	1/2	1/2	4/4	4	1	V7/iv				f	i		V7/iv	V		7		iv			Mm7	1	1	-1, 3, 0, -3		-1	-1	1	4	0.2	0.125	0.875	0.125
4	4	3/4	3/4	4/4	4	1	V/iv				f	i		V/iv	V				iv			M	1	1	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	0.75	0.25
5	5	0	0	4/4	4	1	iv(9)				f	i		iv(9)	iv			9				m	1	1	-2, -5, -1	0	-2	-2	0	5	0.0	0.0	1.375	0.0
5	5	1/4	1/4	4/4	4	1	iv6				f	i		iv6	iv		6					m	1	1	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.625	0.0
5	5	1/2	1/2	4/4	4	1	V7}{				f	i		V7	V		7				}{	Mm7	1	1	0, 4, 1, -2		0	0	2	18	0.1	0.25	2.875	0.08
6	6	1/2	1/2	4/4	4	1	V(64)				f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	2	18	0.1	0.25	2.75	0.08333333333333333
7	7	1/2	1/2	4/4	4	1	V				f	i		V	V							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
7	7	5/8	5/8	4/4	4	1	#viio43				f	i		#viio43	#vii	o	43					o7	1	1	-2, -5, 4, 1		4	-2	0	4	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
7	7	7/8	7/8	4/4	4	1	iv7				f	i		iv7	iv		7					mm7	1	1	-2, -5, -1, -4		-2	-2	0	4	0.0	0.0	0.5	0.0
8	8	0	0	4/4	4	1	V(64)				f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	0	7	0.0	0.0	1.125	0.0
8	8	1/4	1/4	4/4	4	1	V				f	i		V	V							M	1	1	0, 4, 1		0	0	0	6	0.0	0.0	0.875	0.0
8	8	1/2	1/2	4/4	4	1	VI}{				f	i		VI	VI						}{	M	1	1	-5, -1, -4		-5	-5	0	4	0.0	0.0	0.5	0.0
8	8	3/4	3/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
9	9	0	0	4/4	4	1	iv				f	i		iv	iv							m	1	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
9	9	1/4	1/4	4/4	4	1	V+				f	i		V+	V	+						+	1	1	0, 4, 8		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
9	9	1/2	1/2	4/4	4	1	VI				f	i		VI	VI							M	1	1	-5, -1, -4		-5	-5	0	5	0.0	0.0	0.625	0.0
9	9	3/4	3/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.5	0.0
10	10	0	0	4/4	4	1	iv				f	i		iv	iv							m	1	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	0.5	0.0
10	10	1/4	1/4	4/4	4	1	V+				f	i		V+	V	+						+	1	1	0, 4, 8		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
10	10	1/2	1/2	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.5	0.0
10	10	5/8	5/8	4/4	4	1	#viio65				f	i		#viio65	#vii	o	65					o7	1	1	1, -2, -5, 4		4	1	0	5	0.0	0.0	0.5	0.0
10	10	3/4	3/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	6	0.0	0.0	0.625	0.0
10	10	7/8	7/8	4/4	4	1	ii6				f	i		ii6	ii		6					m	1	1	-2, 2, 1		1	-2	2	4	0.3333333333333333	0.125	0.375	0.25
11	11	0	0	4/4	4	1	V(74)				f	i		V(74)	V			74				M	1	1	0, -1, 1	-2	0	0	0	4	0.0	0.0	0.625	0.0
11	11	1/8	1/8	4/4	4	1	V(64)				f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	0	3	0.0	0.0	0.5	0.0
11	11	1/4	1/4	4/4	4	1	V7				f	i		V7	V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	7	0.0	0.0	1.375	0.0
11	11	1/2	1/2	4/4	4	1	i}				f	i		i	i						}	m	1	1	-1, -4, 0		-1	-1	2	9	0.18181818181818182	0.125	2.625	0.045454545454545456
12	12	1/4	1/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	2	0.0	0.0	0.25	0.0
12	12	1/2	1/2	4/4	4	1	V(4)				f	i		V(4)	V			4				M	1	1	0, -1, 1		0	0	1	4	0.2	0.125	1.625	0.07142857142857142
12	12	3/4	3/4	4/4	4	1	V				f	i		V	V							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	0.75	0.0
13	13	0	0	4/4	4	1	i(9)				f	i		i(9)	i			9				m	1	1	-1, -4, 0	1	-1	-1	0	7	0.0	0.0	2.75	0.0
13	13	1/4	1/4	4/4	4	1	i6				f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.75	0.0
13	13	1/2	1/2	4/4	4	1	V(4)/III				f	i		V(4)/III	V			4	III			M	1	1	-3, -4, -2		-3	-3	1	4	0.2	0.125	1.625	0.07142857142857142
13	13	3/4	3/4	4/4	4	1	V/III				f	i		V/III	V				III			M	1	1	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.75	0.0
14	14	0	0	4/4	4	1	III(9)				f	i		III(9)	III			9				M	1	1	-4, 0, -3	-2	-4	-4	0	7	0.0	0.0	2.5	0.0
14	14	1/4	1/4	4/4	4	1	III6				f	i		III6	III		6					M	1	1	0, -3, -4		-4	0	1	4	0.2	0.5	0.75	0.4
14	14	1/2	1/2	4/4	4	1	iv(9)				f	i		iv(9)	iv			9				m	1	1	-2, -5, -1	0	-2	-2	0	4	0.0	0.0	1.25	0.0
14	14	3/4	3/4	4/4	4	1	iv6				f	i		iv6	iv		6					m	1	1	-5, -1, -2		-2	-5	1	4	0.2	0.25	0.75	0.25
15	15	0	0	4/4	4	1	V(9)				f	i		V(9)	V			9				M	1	1	0, 4, 1	-5	0	0	2	8	0.2	0.25	2.125	0.10526315789473684
15	15	3/8	3/8	4/4	4	1	#viio6				f	i		#viio6	#vii	o	6					o	1	1	1, -2, 4		4	1	0	3	0.0	0.0	0.375	0.0
15	15	1/2	1/2	4/4	4	1	V7/iv				f	i		V7/iv	V		7		iv			Mm7	1	1	-1, 3, 0, -3		-1	-1	3	10	0.23076923076923078	0.375	2.625	0.125
16	16	0	0	4/4	4	1	iv6				f	i		iv6	iv		6					m	1	1	-5, -1, -2		-2	-5	1	13	0.07142857142857142	0.125	3.25	0.037037037037037035
16	16	1/2	1/2	4/4	4	1	V(9)				f	i		V(9)	V			9				M	1	1	0, 4, 1	-5	0	0	2	6	0.25	0.25	1.375	0.15384615384615385
