mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	g.i{				g	i		i	i						{	m	1	1	1, -2, 2		1	1	0	14	0.0	0.0	3.5	0.0
1	1	1/2	1/2	4/4	4	1	viio43/V				g	i		viio43/V	vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	8	0.0	0.0	2.0	0.0
1	1	3/4	3/4	4/4	4	1	V6				g	i		V6	V		6					M	1	1	6, 3, 2		2	6	0	7	0.0	0.0	1.75	0.0
2	2	0	0	4/4	4	1	viio7				g	i		viio7	vii	o	7					o7	1	1	-1, -4, -7, -10		-1	-1	4	0	1.0	0.5	0.0	1.0
2	2	1/2	1/2	4/4	4	1	V7				g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	12	0.0	0.0	2.5	0.0
3	3	0	0	4/4	4	1	i(9#74)				g	i		i(9#74)	i			9#74				m	1	1	1, 0, 2	3, 6	1	1	0	7	0.0	0.0	1.625	0.0
3	3	1/4	1/4	4/4	4	1	i				g	i		i	i							m	1	1	1, -2, 2		1	1	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
4	4	0	0	4/4	4	1	viio7/V				g	i		viio7/V	vii	o	7		V			o7	1	1	7, 4, 1, -2		7	7	0	16	0.0	0.0	3.5	0.0
4	4	1/2	1/2	4/4	4	1	V(64)				g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	0	7	0.0	0.0	2.5	0.0
4	4	3/4	3/4	4/4	4	1	V}				g	i		V	V						}	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
5	5	0	0	4/4	4	1	III.I{				g	III		I	I						{	M	1	0	-2, 2, -1		-2	-2	0	13	0.0	0.0	2.875	0.0
5	5	1/2	1/2	4/4	4	1	V7				g	III		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	0	13	0.0	0.0	2.875	0.0
6	6	0	0	4/4	4	1	I				g	III		I	I							M	1	0	-2, 2, -1		-2	-2	0	10	0.0	0.0	1.875	0.0
6	6	1/4	1/4	4/4	4	1	I6				g	III		I6	I		6					M	1	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.5	0.0
6	6	3/8	3/8	4/4	4	1	vii%7/V				g	III		vii%7/V	vii	%	7		V			%7	1	0	4, 1, -2, 2		4	4	0	4	0.0	0.0	0.5	0.0
6	6	1/2	1/2	4/4	4	1	V(64)				g	III		V(64)	V			64				M	1	0	-1, -2, 2		-1	-1	0	6	0.0	0.0	0.875	0.0
6	6	5/8	5/8	4/4	4	1	V}				g	III		V	V						}	M	1	0	-1, 3, 0		-1	-1	0	9	0.0	0.0	1.125	0.0
7	7	0	0	4/4	4	1	ii{				g	III		ii	ii						{	m	1	0	0, -3, 1		0	0	0	6	0.0	0.0	2.375	0.0
7	7	1/4	1/4	4/4	4	1	V7				g	III		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	0	3	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	4	1	I				g	III		I	I							M	1	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	2.875	0.0
8	8	0	0	4/4	4	1	ii6				g	III		ii6	ii		6					m	1	0	-3, 1, 0		0	-3	4	10	0.2857142857142857	0.5	2.0	0.2
8	8	1/2	1/2	4/4	4	1	I				g	III		I	I							M	1	0	-2, 2, -1		-2	-2	1	6	0.14285714285714285	0.0625	1.0625	0.05555555555555555
8	8	3/4	3/4	4/4	4	1	V				g	III		V	V							M	1	0	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.1875	1.0625	0.15
9	9	0	0	4/4	4	1	I}				g	III		I	I						}	M	1	0	-2, 2, -1		-2	-2	0	11	0.0	0.0	1.75	0.0
9	9	1/2	1/2	4/4	4	1	ii{				g	III		ii	ii						{	m	1	0	0, -3, 1		0	0	0	6	0.0	0.0	2.125	0.0
9	9	3/4	3/4	4/4	4	1	V7				g	III		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	0	3	0.0	0.0	0.5	0.0
10	10	0	0	4/4	4	1	I				g	III		I	I							M	1	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	2.875	0.0
10	10	1/2	1/2	4/4	4	1	ii6				g	III		ii6	ii		6					m	1	0	-3, 1, 0		0	-3	4	11	0.26666666666666666	0.5	2.5	0.16666666666666666
11	11	0	0	4/4	4	1	I				g	III		I	I							M	1	0	-2, 2, -1		-2	-2	1	6	0.14285714285714285	0.03125	1.09375	0.027777777777777776
11	11	1/4	1/4	4/4	4	1	V7				g	III		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	1	7	0.125	0.0625	1.3125	0.045454545454545456
11	11	1/2	1/2	4/4	4	1	I}{				g	III		I	I						}{	M	1	0	-2, 2, -1		-2	-2	0	9	0.0	0.0	1.875	0.0
11	11	3/4	3/4	4/4	4	1	I6				g	III		I6	I		6					M	1	0	2, -1, -2		-2	2	0	4	0.0	0.0	0.75	0.0
12	12	0	0	4/4	4	1	V43(4)				g	III		V43(4)	V		43	4				Mm7	1	0	0, -3, -1, -2		-1	0	0	4	0.0	0.0	1.25	0.0
12	12	1/8	1/8	4/4	4	1	V43				g	III		V43	V		43					Mm7	1	0	0, -3, -1, 3		-1	0	2	2	0.5	0.3125	0.1875	0.625
