mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	f.i{	f	i		i		i						{	m	1	1	-1, -4, 0		-1	-1	2	15	0.11764705882352941	0.125	1.875	0.0625
1	1	1/2	1/2	4/4	3	1	i(64)	f	i		i(64)		i			64				m	1	1	-1, -2, -5		-1	-1	0	4	0.0	0.0	0.5	0.0
1	1	5/8	5/8	4/4	3	1	i	f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	10	0.0	0.0	1.5	0.0
2	2	0	0	4/4	3	1	ii%2	f	i		ii%2		ii	%	2					%7	1	1	-1, 1, -2, -5		1	-1	0	7	0.0	0.0	1.0	0.0
2	2	1/4	1/4	4/4	3	1	V65	f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	1	9	0.1	0.03125	0.96875	0.03125
2	2	1/2	1/2	4/4	3	1	i(9)	f	i		i(9)		i			9				m	1	1	-1, -4, 0	1	-1	-1	1	9	0.1	0.0625	1.6875	0.03571428571428571
2	2	7/8	7/8	4/4	3	1	i}	f	i		i		i						}	m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
3	3	0	0	4/4	3	1	VI6{	f	i		VI6		VI		6				{	M	1	1	-1, -4, -5		-5	-1	3	6	0.3333333333333333	0.1875	1.25	0.13043478260869565
3	3	1/2	1/2	4/4	3	1	#viio7	f	i		#viio7		#vii	o	7					o7	1	1	4, 1, -2, -5		4	4	2	5	0.2857142857142857	0.125	1.625	0.07142857142857142
3	3	3/4	3/4	4/4	3	1	V6(#7)	f	i		V6(#7)		V		6	#7				M	1	1	4, 1, 5		0	4	0	1	0.0	0.0	0.125	0.0
3	3	7/8	7/8	4/4	3	1	V6	f	i		V6		V		6					M	1	1	4, 1, 0		0	4	0	1	0.0	0.0	0.125	0.0
4	4	0	0	4/4	3	1	vo6	f	i		vo6		v	o	6					o	1	1	-3, -6, 0		0	-3	1	6	0.14285714285714285	0.0625	1.4375	0.041666666666666664
4	4	1/4	1/4	4/4	3	1	viio2/IV	f	i		viio2/IV		vii	o	2		IV			o7	1	1	-6, 3, 0, -3		3	-6	2	3	0.4	0.125	0.375	0.25
4	4	1/2	1/2	4/4	3	1	IV6	f	i		IV6		IV		6					M	1	1	2, -1, -2		-2	2	2	5	0.2857142857142857	0.125	1.625	0.07142857142857142
4	4	3/4	3/4	4/4	3	1	IV6(#7)	f	i		IV6(#7)		IV		6	#7				M	1	1	2, -1, 3		-2	2	0	1	0.0	0.0	0.125	0.0
4	4	7/8	7/8	4/4	3	1	IV6	f	i		IV6		IV		6					M	1	1	2, -1, -2		-2	2	0	1	0.0	0.0	0.125	0.0
5	5	0	0	4/4	3	1	iv6	f	i		iv6		iv		6					m	1	1	-5, -1, -2		-2	-5	1	7	0.125	0.0625	1.6875	0.03571428571428571
5	5	1/4	1/4	4/4	3	1	It6	f	i		It6	It	vii	o	6	b3	V			It	1	1	-5, -1, 5		5	-5	2	3	0.4	0.125	0.375	0.25
5	5	1/2	1/2	4/4	3	1	V}	f	i		V		V						}	M	1	1	0, 4, 1		0	0	2	14	0.125	0.125	2.125	0.05555555555555555
6	6	0	0	4/4	3	1	V(94){	f	i		V(94)		V			94			{	M	1	1	0, -1, 1	-5	0	0	0	5	0.0	0.0	1.125	0.0
6	6	1/4	1/4	4/4	3	1	#viio43	f	i		#viio43		#vii	o	43					o7	1	1	-2, -5, 4, 1		4	-2	0	4	0.0	0.0	0.875	0.0
6	6	1/2	1/2	4/4	3	1	i6	f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	5	0.0	0.0	1.25	0.0
6	6	3/4	3/4	4/4	3	1	iv	f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	2	5	0.2857142857142857	0.09375	0.65625	0.125
7	7	0	0	4/4	3	1	V(74)	f	i		V(74)		V			74				M	1	1	0, -1, 1	-2	0	0	0	3	0.0	0.0	0.625	0.0
7	7	1/8	1/8	4/4	3	1	V(64)	f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	0	1	0.0	0.0	0.25	0.0
7	7	1/4	1/4	4/4	3	1	V(6)	f	i		V(6)		V			6				M	1	1	0, 4, -4		0	0	0	2	0.0	0.0	0.75	0.0
7	7	3/8	3/8	4/4	3	1	V	f	i		V		V							M	1	1	0, 4, 1		0	0	0	1	0.0	0.0	0.125	0.0
7	7	1/2	1/2	4/4	3	1	VIM2	f	i		VIM2		VI	M	2					MM7	1	1	0, -5, -1, -4		-5	0	0	3	0.0	0.0	0.625	0.0
7	7	3/4	3/4	4/4	3	1	#viio43	f	i		#viio43		#vii	o	43					o7	1	1	-2, -5, 4, 1		4	-2	0	4	0.0	0.0	0.875	0.0
8	8	0	0	4/4	3	1	i6	f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.75	0.0
8	8	1/8	1/8	4/4	3	1	ii7	f	i		ii7		ii		7					mm7	1	1	1, -2, 2, -1		1	1	0	3	0.0	0.0	0.375	0.0
8	8	1/4	1/4	4/4	3	1	i6	f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	2	3	0.4	0.0625	0.3125	0.16666666666666666
8	8	3/8	3/8	4/4	3	1	iio6	f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	1	4	0.2	0.0625	0.4375	0.125
8	8	1/2	1/2	4/4	3	1	V(74)	f	i		V(74)		V			74				M	1	1	0, -1, 1	-2	0	0	0	3	0.0	0.0	0.375	0.0
8	8	5/8	5/8	4/4	3	1	V(64)	f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	0	8	0.0	0.0	0.8125	0.0
8	8	7/8	7/8	4/4	3	1	V7	f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	0	4	0.0	0.0	0.375	0.0
9	9	0	0	4/4	3	1	i}	f	i		i		i						}	m	1	1	-1, -4, 0		-1	-1	2	24	0.07692307692307693	0.125	3.375	0.03571428571428571
10	10	0	0	4/4	3	1	i(64)	f	i		i(64)		i			64				m	1	1	-1, -2, -5		-1	-1	0	5	0.0	0.0	0.625	0.0
10	10	1/8	1/8	4/4	3	1	i	f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	13	0.0	0.0	1.875	0.0
10	10	1/2	1/2	4/4	3	1	ii2	f	i		ii2		ii		2					mm7	1	1	-1, 1, -2, 2		1	-1	2	7	0.2222222222222222	0.25	1.0	0.2
10	10	3/4	3/4	4/4	3	1	V65	f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	1	11	0.08333333333333333	0.03125	1.21875	0.025
11	11	0	0	4/4	3	1	i	f	i		i		i							m	1	1	-1, -4, 0		-1	-1	3	13	0.1875	0.16666666666666666	1.2083333333333333	0.1212121212121212
