mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	2	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0	5	5	0.5	0.8125	0.6875	0.5416666666666666
3	3	0	0	2/4	2	1	V65(2)				V65(2)	V		65	2					Mm7	5, 2, -1, -4		1	5	2	3	0.4	0.375	0.5	0.42857142857142855
3	3	1/4	1/4	2/4	2	1	V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1	1	0	1.0	0.25	0.0	1.0
3	3	3/8	3/8	2/4	2	1	V				V	V								M	1, 5, 2		1	1	4	1	0.8	0.375	0.125	0.75
4	4	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0	7	3	0.7	1.125	0.375	0.75
5	5	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0	2	3	0.4	0.375	0.5	0.42857142857142855
5	5	1/4	1/4	2/4	2	1	V6(9)				V6(9)	V		6	9					M	5, 2, 1	-4	1	5	0	1	0.0	0.0	0.25	0.0
5	5	3/8	3/8	2/4	2	1	V6				V6	V		6						M	5, 2, 1		1	5	4	0	1.0	0.375	0.0	1.0
6	6	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0	6	3	0.6666666666666666	0.9375	0.3125	0.75
7	7	0	0	2/4	2	1	I6{				I6	I		6					{	M	4, 1, 0		0	4	3	1	0.75	0.375	0.25	0.6
7	7	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0	2	1	0.6666666666666666	0.5	0.125	0.8
8	8	0	0	2/4	2	1	V43				V43	V		43						Mm7	2, -1, 1, 5		1	2	2	2	0.5	0.25	0.375	0.4
8	8	1/4	1/4	2/4	2	1	V6				V6	V		6						M	5, 2, 1		1	5	2	1	0.6666666666666666	0.375	0.25	0.6
9	9	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0	5	2	0.7142857142857143	1.125	0.25	0.8181818181818182
9	9	1/4	1/4	2/4	2	1	vii%7/V				vii%7/V	vii	%	7		V				%7	6, 3, 0, 4		6	6	2	2	0.5	0.25	0.375	0.4
10	10	0	0	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1	1	2	0.3333333333333333	0.25	0.25	0.5
10	10	1/8	1/8	2/4	2	1	V}				V	V							}	M	1, 5, 2		1	1	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
10	10	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.375	0.25	0.6
11	11	0	0	2/4	2	1	IV{				IV	IV							{	M	-1, 3, 0		-1	-1	2	3	0.4	0.375	0.5	0.42857142857142855
11	11	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5	4	0	1.0	0.625	0.0	1.0
12	12	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.5	0.25	0.6666666666666666
12	12	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0	3	1	0.75	0.5	0.125	0.8
13	13	0	0	2/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1	2	3	0.4	0.375	0.5	0.42857142857142855
13	13	1/4	1/4	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5	4	0	1.0	0.625	0.0	1.0
14	14	0	0	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.5	0.25	0.6666666666666666
14	14	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0	4	1	0.8	0.625	0.125	0.8333333333333334
15	15	0	0	2/4	2	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5	6	0	1.0	1.125	0.0	1.0
15	15	1/4	1/4	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0	2	2	0.5	0.375	0.25	0.6
16	16	0	0	2/4	2	1	viio				viio	vii	o							o	-2, -5, -8		-2	-2	6	0	1.0	1.125	0.0	1.0
16	16	1/4	1/4	2/4	2	1	ii64				ii64	ii		64						m	3, 2, -1		2	3	2	2	0.5	0.375	0.25	0.6
17	17	0	0	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	3	3	0.5	0.625	0.5	0.5555555555555556
17	17	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5	2	2	0.5	0.25	0.375	0.4
18	18	0	0	2/4	2	1	I(4)				I(4)	I			4					M	0, -1, 1		0	0	3	1	0.75	0.5625	0.0625	0.9
18	18	1/8	1/8	2/4	2	1	I				I	I								M	0, 4, 1		0	0	2	1	0.6666666666666666	0.1875	0.0625	0.75
18	18	1/4	1/4	2/4	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1	5	1	0.8333333333333334	0.75	0.125	0.8571428571428571
19	19	0	0	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1	2	2	0.5	0.375	0.5	0.42857142857142855
19	19	1/4	1/4	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	2	2	0.5	0.375	0.5	0.42857142857142855
20	20	0	0	2/4	2	1	I}{				I	I							}{	M	0, 4, 1		0	0	4	1	0.8	0.875	0.125	0.875
20	20	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.375	0.25	0.6
21	21	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1	3	4	0.42857142857142855	0.4375	0.4375	0.5
21	21	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1	2	2	0.5	0.375	0.25	0.6
21	21	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	1	3	0.25	0.125	0.25	0.3333333333333333
22	22	0	0	2/4	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4	2	3	0.4	0.375	0.625	0.375
22	22	1/4	1/4	2/4	2	1	I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.375	0.25	0.6
23	23	0	0	2/4	2	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1	3	4	0.42857142857142855	0.4375	0.4375	0.5
23	23	1/4	1/4	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1	2	2	0.5	0.375	0.25	0.6
23	23	3/8	3/8	2/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	1	3	0.25	0.125	0.25	0.3333333333333333
24	24	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0	4	2	0.6666666666666666	0.625	0.5	0.5555555555555556
25	25	0	0	2/4	2	1	I{				I	I							{	M	0, 4, 1		0	0	9	3	0.75	1.4375	0.3125	0.8214285714285714
26	26	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0	5	7	0.4166666666666667	0.8125	0.9375	0.4642857142857143
27	27	0	0	2/4	2	1	V65(2)				V65(2)	V		65	2					Mm7	5, 2, -1, -4		1	5	3	3	0.5	0.625	0.75	0.45454545454545453
27	27	1/4	1/4	2/4	2	1	V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1	1	0	1.0	0.25	0.0	1.0
27	27	3/8	3/8	2/4	2	1	V				V	V								M	1, 5, 2		1	1	2	0	1.0	0.125	0.0	1.0
28	28	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0	9	3	0.75	1.375	0.375	0.7857142857142857
29	29	0	0	2/4	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0	2	4	0.3333333333333333	0.375	0.625	0.375
29	29	1/4	1/4	2/4	2	1	V65(9)				V65(9)	V		65	9					Mm7	5, 2, -1, 1	-4	1	5	0	1	0.0	0.0	0.25	0.0
29	29	3/8	3/8	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5	4	1	0.8	0.375	0.125	0.75
30	30	0	0	2/4	2	1	I}				I	I							}	M	0, 4, 1		0	0	8	3	0.7272727272727273	1.1875	0.3125	0.7916666666666666
31	31	0	0	2/4	2	1	I6{				I6	I		6					{	M	4, 1, 0		0	4	5	1	0.8333333333333334	0.875	0.25	0.7777777777777778
31	31	1/4	1/4	2/4	2	1	I				I	I								M	0, 4, 1		0	0	3	1	0.75	0.5	0.125	0.8
32	32	0	0	2/4	2	1	ii				ii	ii								m	2, -1, 3		2	2	4	2	0.6666666666666666	0.75	0.375	0.6666666666666666
32	32	1/4	1/4	2/4	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5	2	2	0.5	0.25	0.375	0.4
33	33	0	0	2/4	2	1	I				I	I								M	0, 4, 1		0	0	4	2	0.6666666666666666	0.75	0.25	0.75
33	33	1/4	1/4	2/4	2	1	vii%7/V				vii%7/V	vii	%	7		V				%7	6, 3, 0, 4		6	6	3	2	0.6	0.375	0.5	0.42857142857142855
34	34	0	0	2/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1	2	3	0.4	0.5	0.375	0.5714285714285714
34	34	1/8	1/8	2/4	2	1	V}				V	V							}	M	1, 5, 2		1	1	4	2	0.6666666666666666	0.625	0.25	0.7142857142857143
35	35	0	0	2/4	2	1	V.I6{		V		I6	I		6					{	M	4, 1, 0		0	4	5	0	1.0	0.875	0.0	1.0
35	35	1/4	1/4	2/4	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6	4	1	0.8	0.75	0.125	0.8571428571428571
36	36	0	0	2/4	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1	4	1	0.8	0.75	0.125	0.8571428571428571
