mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	3	1	c.i{				c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
1	1	1/8	1/8	3/8	3	1	i(+9)				c	i		i(+9)	i			+9				m	1	1	0, -3, 1	2	0	0	0	1	0.0	0.0	0.25	0.0
1	1	1/4	1/4	3/8	3	1	V6				c	i		V6	V		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.25	0.0
2	2	0	0	3/8	3	1	i				c	i		i	i							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
2	2	1/8	1/8	3/8	3	1	i(+4)				c	i		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0	0	1	0.0	0.0	0.25	0.0
2	2	1/4	1/4	3/8	3	1	V43				c	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/8	3	1	i6				c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	0.75	0.0
3	3	1/8	1/8	3/8	3	1	i6(+6)				c	i		i6(+6)	i		6	+6				m	1	1	-3, 1, 0	-4	0	-3	0	2	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/8	3	1	iv				c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
4	4	0	0	3/8	3	1	#viio43				c	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	0	4	0.0	0.0	0.5	0.0
4	4	1/8	1/8	3/8	3	1	i6}				c	i		i6	i		6				}	m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
5	5	0	0	3/8	3	1	vii.i{				c	vii		i	i						{	m	1	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
5	5	1/8	1/8	3/8	3	1	i(+9)				c	vii		i(+9)	i			+9				m	1	1	-2, -5, -1	0	-2	-2	0	1	0.0	0.0	0.25	0.0
5	5	1/4	1/4	3/8	3	1	V6				c	vii		V6	V		6					M	1	1	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
6	6	0	0	3/8	3	1	i				c	vii		i	i							m	1	1	-2, -5, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
6	6	1/8	1/8	3/8	3	1	i(+4)				c	vii		i(+4)	i			+4				m	1	1	-2, -5, -1	-3	-2	-2	0	1	0.0	0.0	0.25	0.0
