mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	3	1	c.i{					c	i		i		i						{	m	1	1	0, -3, 1		0	0	2	5	0.2857142857142857	0.1875	0.8125	0.1875
2	2	1/8	1/8	3/8	3	1	VI					c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	1	2	0.3333333333333333	0.125	0.375	0.25
3	3	0	0	3/8	3	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1	0	5	0.0	0.0	0.5	0.0
3	3	1/8	1/8	3/8	3	1	V(64)					c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	0	3	0.0	0.0	0.375	0.0
3	3	1/4	1/4	3/8	3	1	V2					c	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	0.5	0.0
4	4	0	0	3/8	3	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	0.75	0.0
4	4	1/8	1/8	3/8	3	1	VI(4)					c	i		VI(4)		VI			4				M	1	1	-4, 2, -3		-4	-4	0	3	0.0	0.0	0.5	0.0
4	4	1/4	1/4	3/8	3	1	VI					c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	1	1	0.5	0.125	0.125	0.5
5	5	0	0	3/8	3	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1	0	5	0.0	0.0	0.5	0.0
5	5	1/8	1/8	3/8	3	1	V(64)					c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/8	3	1	V2					c	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	0	4	0.0	0.0	0.5	0.0
6	6	0	0	3/8	3	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
