mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1		.c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/8	1/8	3/8	2	1		i(+9)	c	i		i(+9)	i			+9				m	1	1	0, -3, 1	2	0	0
1	1	1/4	1/4	3/8	2	1		V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	0	0	3/8	2	1		i	c	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/8	1/8	3/8	2	1		i(+4)	c	i		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0
2	2	1/4	1/4	3/8	2	1		V43	c	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	0	0	3/8	2	1		i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	1/8	1/8	3/8	2	1		i6(+6)	c	i		i6(+6)	i		6	+6				m	1	1	-3, 1, 0	-4	0	-3
3	3	1/4	1/4	3/8	2	1		iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	0	0	3/8	2	1		viio43	c	i		viio43	vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
4	4	1/8	1/8	3/8	2	1		i6}	c	i		i6	i		6				}	m	1	1	-3, 1, 0		0	-3
5	5	0	0	3/8	2	1		.vii.i{	c	vii		i	i						{	m	1	1	0, -3, 1		0	0
5	5	1/8	1/8	3/8	2	1		i(+9)	c	vii		i(+9)	i			+9				m	1	1	0, -3, 1	2	0	0
5	5	1/4	1/4	3/8	2	1		V6	c	vii		V6	V		6					M	1	1	5, 2, 1		1	5
6	6	0	0	3/8	2	1		i	c	vii		i	i							m	1	1	0, -3, 1		0	0
6	6	1/8	1/8	3/8	2	1		i(+4)	c	vii		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0
6	6	1/4	1/4	3/8	2	1		V43	c	vii		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
7	7	0	0	3/8	2	1		i6	c	vii		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	1/8	1/8	3/8	2	1		i6(+b6)	c	vii		i6(+b6)	i		6	+b6				m	1	1	-3, 1, 0	-11	0	-3
7	7	1/4	1/4	3/8	2	1		iv	c	vii		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	0	0	3/8	2	1		viio43	c	vii		viio43	vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
8	8	1/8	1/8	3/8	2	1		i6}	c	vii		i6	i		6				}	m	1	1	-3, 1, 0		0	-3
9	9	0	0	3/8	2	1		V6/VII{	c	vii		V6/VII	V		6		VII		{	M	1	1	3, 0, -1		-1	3
9	9	1/8	1/8	3/8	2	1		V65/VII	c	vii		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3
10	10	0	0	3/8	2	1		VII	c	vii		VII	VII							M	1	1	-2, 2, -1		-2	-2
10	10	1/8	1/8	3/8	2	1		VII6	c	vii		VII6	VII		6					M	1	1	2, -1, -2		-2	2
10	10	1/4	1/4	3/8	2	1		viio6/VII	c	vii		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
11	11	0	0	3/8	2	1		.i.iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	12	0	0	3/8	2	1		V7(2)	c	i		V7(2)	V		7	2				Mm7	1	1	-4, 5, 2, -1		1	-4
