mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset:x	offset:y	label_type	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	13	3/8	3/8	4/4	3	1	V	0	-6.23675	dcml	g	III		V	V						M	1	0	1, 5, 2		1	1
13	13	1/2	1/2	4/4	3	1	I}	-0.145375	-5.98901	dcml	g	III		I	I					}	M	1	0	0, 4, 1		0	0
14	14	0	0	4/4	3	1	{			dcml	g	III								{		1	0				
14	14	1/2	1/2	4/4	3	1	i.#viio6			dcml	g	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
14	14	3/4	3/4	4/4	3	1	i			dcml	g	i		i	i						m	1	1	0, -3, 1		0	0
15	15	1/2	1/2	4/4	3	1	viio7/V			dcml	g	i		viio7/V	vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
16	16	0	0	4/4	3	1	V[V(64)			dcml	g	i	V	V(64)	V			64			M	1	1	1, 0, -3		1	1
16	16	1/4	1/4	4/4	3	1	V}			dcml	g	i	V	V	V					}	M	1	1	1, 5, 2		1	1
16	16	1/2	1/2	4/4	3	1	{			dcml	g	i	V							{		1	1				
17	17	0	0	4/4	3	1	iv6(2)			dcml	g	i	V	iv6(2)	iv		6	2			m	1	1	-4, 0, 1		-1	-4
17	17	1/4	1/4	4/4	3	1	IV6			dcml	g	i	V	IV6	IV		6				M	1	1	3, 0, -1		-1	3
17	17	1/2	1/2	4/4	3	1	V7			dcml	g	i	V	V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
18	18	1/4	1/4	4/4	3	1	V(64)]			dcml	g	i	V	V(64)	V			64			M	1	1	1, 0, -3		1	1
18	18	1/2	1/2	4/4	3	1	viio7/V			dcml	g	i		viio7/V	vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
19	19	0	0	4/4	3	1	V(64)			dcml	g	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
19	19	1/8	1/8	4/4	3	1	V}			dcml	g	i		V	V					}	M	1	1	1, 5, 2		1	1
19	19	1/2	1/2	4/4	3	1	V7{			dcml	g	i		V7	V		7			{	Mm7	1	1	1, 5, 2, -1		1	1
20	20	0	0	4/4	3	1	i			dcml	g	i		i	i						m	1	1	0, -3, 1		0	0
20	20	1/2	1/2	4/4	3	1	iv6			dcml	g	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
21	21	0	0	4/4	3	1	iv65(-1)			dcml	g	i		iv65(-1)	iv		65	-1			mm7	1	1	-4, 0, -3, -1		-1	-4
21	21	1/4	1/4	4/4	3	1	V7			dcml	g	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
21	21	1/2	1/2	4/4	3	1	i}			dcml	g	i		i	i					}	m	1	1	0, -3, 1		0	0
22	22	0	0	4/4	3	1	V7{			dcml	g	i		V7	V		7			{	Mm7	1	1	1, 5, 2, -1		1	1
22	22	1/2	1/2	4/4	3	1	i			dcml	g	i		i	i						m	1	1	0, -3, 1		0	0
23	23	0	0	4/4	3	1	iv6			dcml	g	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
23	23	1/2	1/2	4/4	3	1	V(64)			dcml	g	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
23	23	3/4	3/4	4/4	3	1	V			dcml	g	i		V	V						M	1	1	1, 5, 2		1	1
24	24	0	0	4/4	3	1	i}{			dcml	g	i		i	i					}{	m	1	1	0, -3, 1		0	0
24	24	1/4	1/4	4/4	3	1	i6			dcml	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
24	24	1/2	1/2	4/4	3	1	V43(4)			dcml	g	i		V43(4)	V		43	4			Mm7	1	1	2, -1, 1, 0		1	2
24	24	5/8	5/8	4/4	3	1	V43			dcml	g	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
24	24	7/8	7/8	4/4	3	1	viio43/V	-1.59913	-6.03758	dcml	g	i		viio43/V	vii	o	43		V		o7	1	1	0, -3, 6, 3		6	0
25	25	0	0	4/4	3	1	V6			dcml	g	i		V6	V		6				M	1	1	5, 2, 1		1	5
25	25	1/8	1/8	4/4	3	1	VI6			dcml	g	i		VI6	VI		6				M	1	1	0, -3, -4		-4	0
25	25	1/4	1/4	4/4	3	1	iv6			dcml	g	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
25	25	3/8	3/8	4/4	3	1	iio6	0	-5.72932	dcml	g	i		iio6	ii	o	6				o	1	1	-1, -4, 2		2	-1
25	25	1/2	1/2	4/4	3	1	i6	0.145375	-5.63056	dcml	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
25	25	5/8	5/8	4/4	3	1	iv6	-0.290751	-5.87152	dcml	g	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
25	25	3/4	3/4	4/4	3	1	iio6	0	-5.47864	dcml	g	i		iio6	ii	o	6				o	1	1	-1, -4, 2		2	-1
25	25	7/8	7/8	4/4	3	1	V	0.145375	-5.26213	dcml	g	i		V	V						M	1	1	1, 5, 2		1	1
26	26	0	0	4/4	3	1	i}	-0.290751	-5.40751	dcml	g	i		i	i					}	m	1	1	0, -3, 1		0	0
