mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	4	1	g.i{	g	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	1.0	1/2	1/2	4/4	4	1	viio43/V	g	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
1	1	3	3	1.0	3/4	3/4	4/4	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	4	4	2.0	0	0	4/4	4	1	viio7	g	i		viio7	vii	o	7					o7	1	1	-2, -5, -8, -11		-2	-2
2	2	6	6	2.0	1/2	1/2	4/4	4	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	8	8	1.0	0	0	4/4	4	1	i(9#74)	g	i		i(9#74)	i			9#74				m	1	1	0, -1, 1	2, 5	0	0
3	3	9	9	3.0	1/4	1/4	4/4	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	4	12	12	2.0	0	0	4/4	4	1	viio7/V	g	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
4	4	14	14	1.0	1/2	1/2	4/4	4	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
4	4	15	15	1.0	3/4	3/4	4/4	4	1	V}	g	i		V	V						}	M	1	1	1, 5, 2		1	1
5	5	16	16	2.0	0	0	4/4	4	1	III.I{	g	III		I	I						{	M	1	0	0, 4, 1		0	0
5	5	18	18	2.0	1/2	1/2	4/4	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
6	6	20	20	1.0	0	0	4/4	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
6	6	21	21	0.5	1/4	1/4	4/4	4	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
6	6	43/2	43/2	0.5	3/8	3/8	4/4	4	1	vii%7/V	g	III		vii%7/V	vii	%	7		V			%7	1	0	6, 3, 0, 4		6	6
6	6	22	22	0.5	1/2	1/2	4/4	4	1	V(64)	g	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
6	6	45/2	45/2	1.5	5/8	5/8	4/4	4	1	V}	g	III		V	V						}	M	1	0	1, 5, 2		1	1
7	7	24	24	1.0	0	0	4/4	4	1	ii{	g	III		ii	ii						{	m	1	0	2, -1, 3		2	2
7	7	25	25	1.0	1/4	1/4	4/4	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
7	7	26	26	2.0	1/2	1/2	4/4	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
8	8	28	28	2.0	0	0	4/4	4	1	ii6	g	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
8	8	30	30	1.0	1/2	1/2	4/4	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
8	8	31	31	1.0	3/4	3/4	4/4	4	1	V	g	III		V	V							M	1	0	1, 5, 2		1	1
9	9	32	32	2.0	0	0	4/4	4	1	I}	g	III		I	I						}	M	1	0	0, 4, 1		0	0
9	9	34	34	1.0	1/2	1/2	4/4	4	1	ii{	g	III		ii	ii						{	m	1	0	2, -1, 3		2	2
9	9	35	35	1.0	3/4	3/4	4/4	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
10	10	36	36	2.0	0	0	4/4	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
10	10	38	38	2.0	1/2	1/2	4/4	4	1	ii6	g	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
11	11	40	40	1.0	0	0	4/4	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
11	11	41	41	1.0	1/4	1/4	4/4	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	11	42	42	1.0	1/2	1/2	4/4	4	1	I}{	g	III		I	I						}{	M	1	0	0, 4, 1		0	0
11	11	43	43	1.0	3/4	3/4	4/4	4	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
12	12	44	44	0.5	0	0	4/4	4	1	V43(4)	g	III		V43(4)	V		43	4				Mm7	1	0	2, -1, 1, 0		1	2
12	12	89/2	89/2	1.0	1/8	1/8	4/4	4	1	V43	g	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
12	12	91/2	91/2	0.5	3/8	3/8	4/4	4	1	V2/V	g	III		V2/V	V		2		V			Mm7	1	0	0, 2, 6, 3		2	0
12	12	46	46	0.5	1/2	1/2	4/4	4	1	V6	g	III		V6	V		6					M	1	0	5, 2, 1		1	5
12	12	93/2	93/2	0.5	5/8	5/8	4/4	4	1	vi6	g	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
12	12	47	47	0.5	3/4	3/4	4/4	4	1	IV6	g	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
12	12	95/2	95/2	0.5	7/8	7/8	4/4	4	1	ii6	g	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
13	13	48	48	0.5	0	0	4/4	4	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
13	13	97/2	97/2	0.5	1/8	1/8	4/4	4	1	vi	g	III		vi	vi							m	1	0	3, 0, 4		3	3
13	13	49	49	0.5	1/4	1/4	4/4	4	1	ii6	g	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
13	13	99/2	99/2	0.5	3/8	3/8	4/4	4	1	V	g	III		V	V							M	1	0	1, 5, 2		1	1
13	13	50	50	4.0	1/2	1/2	4/4	4	1	I}	g	III		I	I						}	M	1	0	0, 4, 1		0	0
14	14	52	52	0.0	0	0	4/4	4	1	{	g	III									{		1	0				
14	14	54	54	1.0	1/2	1/2	4/4	4	1	i.#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
14	14	55	55	3.0	3/4	3/4	4/4	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
15	15	58	58	2.0	1/2	1/2	4/4	4	1	viio7/V	g	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
16	16	60	60	1.0	0	0	4/4	4	1	V[V(64)	g	i	V	V(64)	V			64				M	1	1	1, 0, -3		1	1
16	16	61	61	3.0	1/4	1/4	4/4	4	1	V}	g	i	V	V	V						}	M	1	1	1, 5, 2		1	1
16	16	62	62	0.0	1/2	1/2	4/4	4	1	{	g	i	V								{		1	1				
17	17	64	64	1.0	0	0	4/4	4	1	iv6(2)	g	i	V	iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
17	17	65	65	1.0	1/4	1/4	4/4	4	1	IV6	g	i	V	IV6	IV		6					M	1	1	3, 0, -1		-1	3
17	17	66	66	2.0	1/2	1/2	4/4	4	1	V7	g	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	18	68	68	1.0	0	0	4/4	4	1	V(v74)	g	i	V	V(v74)	V			v74				M	1	1	1, 0, 2		1	1
