mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0.5	0	0	3/8	3	1	c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	0.5	1/8	1/8	3/8	3	1	i(+9)	c	i		i(+9)	i			+9				m	1	1	0, -3, 1	2	0	0
1	1	1	0.5	1/4	1/4	3/8	3	1	V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	3/2	0.5	0	0	3/8	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
2	2	2	0.5	1/8	1/8	3/8	3	1	i(+4)	c	i		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0
2	2	5/2	0.5	1/4	1/4	3/8	3	1	V43	c	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	3	0.5	0	0	3/8	3	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	7/2	0.5	1/8	1/8	3/8	3	1	i6(+6)	c	i		i6(+6)	i		6	+6				m	1	1	-3, 1, 0	-4	0	-3
3	3	4	0.5	1/4	1/4	3/8	3	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	9/2	0.5	0	0	3/8	3	1	viio43	c	i		viio43	vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
4	4	5	1.0	1/8	1/8	3/8	3	1	i6}	c	i		i6	i		6				}	m	1	1	-3, 1, 0		0	-3
5	5	6	0.5	0	0	3/8	3	1	vii.i{	c	vii		i	i						{	m	1	1	0, -3, 1		0	0
5	5	13/2	0.5	1/8	1/8	3/8	3	1	i(+9)	c	vii		i(+9)	i			+9				m	1	1	0, -3, 1	2	0	0
5	5	7	0.5	1/4	1/4	3/8	3	1	V6	c	vii		V6	V		6					M	1	1	5, 2, 1		1	5
6	6	15/2	0.5	0	0	3/8	3	1	i	c	vii		i	i							m	1	1	0, -3, 1		0	0
6	6	8	0.5	1/8	1/8	3/8	3	1	i(+4)	c	vii		i(+4)	i			+4				m	1	1	0, -3, 1	-1	0	0
6	6	17/2	0.5	1/4	1/4	3/8	3	1	V43	c	vii		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
7	7	9	0.5	0	0	3/8	3	1	i6	c	vii		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	19/2	0.5	1/8	1/8	3/8	3	1	i6(+b6)	c	vii		i6(+b6)	i		6	+b6				m	1	1	-3, 1, 0	-11	0	-3
7	7	10	0.5	1/4	1/4	3/8	3	1	iv	c	vii		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	21/2	0.5	0	0	3/8	3	1	viio43	c	vii		viio43	vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
8	8	11	1.0	1/8	1/8	3/8	3	1	i6}	c	vii		i6	i		6				}	m	1	1	-3, 1, 0		0	-3
9	9	12	0.5	0	0	3/8	3	1	V6/VII{	c	vii		V6/VII	V		6		VII		{	M	1	1	3, 0, -1		-1	3
9	9	25/2	1.0	1/8	1/8	3/8	3	1	V65/VII	c	vii		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3
10	10	27/2	0.5	0	0	3/8	3	1	VII	c	vii		VII	VII							M	1	1	-2, 2, -1		-2	-2
10	10	14	0.5	1/8	1/8	3/8	3	1	VII6	c	vii		VII6	VII		6					M	1	1	2, -1, -2		-2	2
10	10	29/2	0.5	1/4	1/4	3/8	3	1	viio6/VII	c	vii		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
11	11	15	1.5	0	0	3/8	3	1	i.iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	12	33/2	0.5	0	0	3/8	3	1	V7(2)	c	i		V7(2)	V		7	2				Mm7	1	1	-4, 5, 2, -1		1	-4
12	12	17	0.5	1/8	1/8	3/8	3	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	35/2	0.5	1/4	1/4	3/8	3	1	V2	c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
13	13	18	0.5	0	0	3/8	3	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	13	37/2	0.5	1/8	1/8	3/8	3	1	viio6	c	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
