mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	2	1	.f.i{	f	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	2	0.5	1/2	1/2	4/4	2	1	i(64)	f	i		i(64)		i			64				m	1	1	0, -1, -4		0	0
1	1	5/2	1.5	5/8	5/8	4/4	2	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
2	2	4	1.0	0	0	4/4	2	1	ii%2	f	i		ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
2	2	5	1.0	1/4	1/4	4/4	2	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	2	6	1.5	1/2	1/2	4/4	2	1	i(9)	f	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
2	2	15/2	0.5	7/8	7/8	4/4	2	1	i}	f	i		i		i						}	m	1	1	0, -3, 1		0	0
3	3	8	2.0	0	0	4/4	2	1	VI6{	f	i		VI6		VI		6				{	M	1	1	0, -3, -4		-4	0
3	3	10	1.0	1/2	1/2	4/4	2	1	viio7	f	i		viio7		vii	o	7					o7	1	1	-2, -5, -8, -11		-2	-2
3	3	11	0.5	3/4	3/4	4/4	2	1	V6(#7)	f	i		V6(#7)		V		6	#7				M	1	1	5, 2, 6		1	5
3	3	23/2	0.5	7/8	7/8	4/4	2	1	V6	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
4	4	12	1.0	0	0	4/4	2	1	vo6	f	i		vo6		v	o	6					o	1	1	-2, -5, 1		1	-2
4	4	13	1.0	1/4	1/4	4/4	2	1	viio2/IV	f	i		viio2/IV		vii	o	2		IV			o7	1	1	-5, 4, 1, -2		4	-5
4	4	14	1.0	1/2	1/2	4/4	2	1	IV6	f	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
4	4	15	0.5	3/4	3/4	4/4	2	1	IV6(#7)	f	i		IV6(#7)		IV		6	#7				M	1	1	3, 0, 4		-1	3
4	4	31/2	0.5	7/8	7/8	4/4	2	1	IV6	f	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
5	5	16	1.0	0	0	4/4	2	1	iv6	f	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	17	1.0	1/4	1/4	4/4	2	1	.It6	f	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
5	5	18	2.0	1/2	1/2	4/4	2	1	V}	f	i		V		V						}	M	1	1	1, 5, 2		1	1
6	6	20	1.0	0	0	4/4	2	1	V(94){	f	i		V(94)		V			94			{	M	1	1	1, 0, 2	-4	1	1
6	6	21	1.0	1/4	1/4	4/4	2	1	viio43	f	i		viio43		vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
6	6	22	1.0	1/2	1/2	4/4	2	1	i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	23	1.0	3/4	3/4	4/4	2	1	iv	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	7	24	0.5	0	0	4/4	2	1	V(v74)	f	i		V(v74)		V			v74				M	1	1	1, 0, 2		1	1
7	7	49/2	0.5	1/8	1/8	4/4	2	1	V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
7	7	25	0.5	1/4	1/4	4/4	2	1	V(6)	f	i		V(6)		V			6				M	1	1	1, 5, -3		1	1
7	7	51/2	0.5	3/8	3/8	4/4	2	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
7	7	26	1.0	1/2	1/2	4/4	2	1	VIM2	f	i		VIM2		VI	M	2					MM7	1	1	1, -4, 0, -3		-4	1
7	7	27	1.0	3/4	3/4	4/4	2	1	viio43	f	i		viio43		vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
8	8	28	0.5	0	0	4/4	2	1	i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
8	8	57/2	0.5	1/8	1/8	4/4	2	1	ii7	f	i		ii7		ii		7					mm7	1	1	2, -1, 3, 0		2	2
8	8	29	0.5	1/4	1/4	4/4	2	1	i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
8	8	59/2	0.5	3/8	3/8	4/4	2	1	iio6	f	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
8	8	30	0.5	1/2	1/2	4/4	2	1	V(v74)	f	i		V(v74)		V			v74				M	1	1	1, 0, 2		1	1
8	8	61/2	1.0	5/8	5/8	4/4	2	1	V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	8	63/2	0.5	7/8	7/8	4/4	2	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	32	4.0	0	0	4/4	2	1	i}	f	i		i		i						}	m	1	1	0, -3, 1		0	0
9	9	34	0.0	1/2	1/2	4/4	2	1	{	f	i										{		1	1				
10	10	36	0.5	0	0	4/4	2	1	i(64)	f	i		i(64)		i			64				m	1	1	0, -1, -4		0	0
10	10	73/2	1.5	1/8	1/8	4/4	2	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
10	10	38	1.0	1/2	1/2	4/4	2	1	ii2	f	i		ii2		ii		2					mm7	1	1	0, 2, -1, 3		2	0
10	10	39	1.0	3/4	3/4	4/4	2	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
11	11	40	1.5	0	0	4/4	2	1	i	f	i		i		i							m	1	1	0, -3, 1		0	0
11	11	83/2	0.5	3/8	3/8	4/4	2	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	42	2.0	1/2	1/2	4/4	2	1	VI6	f	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
12	12	44	0.5	0	0	4/4	2	1	V6(9)	f	i		V6(9)		V		6	9				M	1	1	5, 2, 1	-4	1	5
12	12	89/2	0.5	1/8	1/8	4/4	2	1	V6(#7)	f	i		V6(#7)		V		6	#7				M	1	1	5, 2, 6		1	5
12	12	45	1.0	1/4	1/4	4/4	2	1	V6	f	i		V6		V		6					M	1	1	5, 2, 1		1	5
12	12	46	2.0	1/2	1/2	4/4	2	1	vo6	f	i		vo6		v	o	6					o	1	1	-2, -5, 1		1	-2
13	13	48	0.5	0	0	4/4	2	1	IV6(9)	f	i		IV6(9)		IV		6	9				M	1	1	3, 0, -1	1	-1	3
13	13	97/2	0.5	1/8	1/8	4/4	2	1	IV6(#7)	f	i		IV6(#7)		IV		6	#7				M	1	1	3, 0, 4		-1	3
13	13	49	1.0	1/4	1/4	4/4	2	1	IV6	f	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
13	13	50	2.0	1/2	1/2	4/4	2	1	iv6	f	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	52	1.0	0	0	4/4	2	1	III6(7)	f	i		III6(7)		III		6	7				M	1	1	1, -2, 2		-3	1
14	14	53	1.0	1/4	1/4	4/4	2	1	III6	f	i		III6		III		6					M	1	1	1, -2, -3		-3	1
14	14	54	0.25	1/2	1/2	4/4	2	1	ii	f	i		ii		ii							m	1	1	2, -1, 3		2	2
14	14	217/4	0.75	9/16	9/16	4/4	2	1	viio/III	f	i		viio/III		vii	o			III			o	1	1	2, -1, -4		2	2
14	14	55	0.5	3/4	3/4	4/4	2	1	III.I	f	III		I		I							M	1	0	0, 4, 1		0	0
14	14	111/2	0.5	7/8	7/8	4/4	2	1	vii%7/V	f	III		vii%7/V		vii	%	7		V			%7	1	0	6, 3, 0, 4		6	6
15	15	56	0.5	0	0	4/4	2	1	V(64)	f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
15	15	113/2	1.5	1/8	1/8	4/4	2	1	V}	f	III		V		V						}	M	1	0	1, 5, 2		1	1
15	15	58	2.0	1/2	1/2	4/4	2	1	V7{	f	III		V7		V		7				{	Mm7	1	0	1, 5, 2, -1		1	1
16	16	60	2.0	0	0	4/4	2	1	V65	f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
16	16	62	2.0	1/2	1/2	4/4	2	1	I(9)	f	III		I(9)		I			9				M	1	0	0, 4, 1	2	0	0
17	17	64	2.0	0	0	4/4	2	1	viio7/V	f	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
17	17	66	2.0	1/2	1/2	4/4	2	1	V(4)	f	III		V(4)		V			4				M	1	0	1, 0, 2		1	1
18	18	68	2.0	0	0	4/4	2	1	V	f	III		V		V							M	1	0	1, 5, 2		1	1
18	18	70	0.5	1/2	1/2	4/4	2	1	I}{	f	III		I		I						}{	M	1	0	0, 4, 1		0	0
18	18	141/2	0.5	5/8	5/8	4/4	2	1	IV	f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
18	18	71	0.5	3/4	3/4	4/4	2	1	I6	f	III		I6		I		6					M	1	0	4, 1, 0		0	4
18	18	143/2	0.5	7/8	7/8	4/4	2	1	viio6	f	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
19	19	72	0.5	0	0	4/4	2	1	I	f	III		I		I							M	1	0	0, 4, 1		0	0
19	19	145/2	0.5	1/8	1/8	4/4	2	1	IV	f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
19	19	73	0.5	1/4	1/4	4/4	2	1	I6	f	III		I6		I		6					M	1	0	4, 1, 0		0	4
19	19	147/2	0.5	3/8	3/8	4/4	2	1	viio6	f	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
19	19	74	0.5	1/2	1/2	4/4	2	1	I	f	III		I		I							M	1	0	0, 4, 1		0	0
19	19	149/2	0.5	5/8	5/8	4/4	2	1	IV	f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
