mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	1	1.0	1/4	1/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
1	1	2	1.0	1/2	1/2	4/4	4	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
1	1	3	1.0	3/4	3/4	4/4	4	1	V6				V6	V		6						M	5, 2, 1		1	5
2	2	4	1.0	0	0	4/4	4	1	i(9)				i(9)	i			9					m	0, -3, 1	2	0	0
2	2	5	1.0	1/4	1/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
2	2	6	1.0	1/2	1/2	4/4	4	1	V(4)/III				V(4)/III	V			4	III				M	-2, -3, -1		-2	-2
2	2	7	1.0	3/4	3/4	4/4	4	1	V6/III				V6/III	V		6		III				M	2, -1, -2		-2	2
3	3	8	1.0	0	0	4/4	4	1	III(9)				III(9)	III			9					M	-3, 1, -2	-1	-3	-3
3	3	9	1.0	1/4	1/4	4/4	4	1	III6				III6	III		6						M	1, -2, -3		-3	1
3	3	10	1.0	1/2	1/2	4/4	4	1	iv(9)				iv(9)	iv			9					m	-1, -4, 0	1	-1	-1
3	3	11	1.0	3/4	3/4	4/4	4	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
4	4	12	1.5	0	0	4/4	4	1	V(97)				V(97)	V			97					M	1, 5, 2	-4, -1	1	1
4	4	27/2	0.5	3/8	3/8	4/4	4	1	viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
4	4	14	1.0	1/2	1/2	4/4	4	1	V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
4	4	15	1.0	3/4	3/4	4/4	4	1	V/iv				V/iv	V				iv				M	0, 4, 1		0	0
5	5	16	1.0	0	0	4/4	4	1	iv(9)				iv(9)	iv			9					m	-1, -4, 0	1	-1	-1
5	5	17	1.0	1/4	1/4	4/4	4	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
5	5	18	4.0	1/2	1/2	4/4	4	1	V7}{				V7	V		7					}{	Mm7	1, 5, 2, -1		1	1
6	6	22	4.0	1/2	1/2	4/4	4	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
7	7	26	0.5	1/2	1/2	4/4	4	1	V				V	V								M	1, 5, 2		1	1
7	7	53/2	0.5	5/8	5/8	4/4	4	1	viio43				viio43	vii	o	43						o7	-8, -11, -2, -5		-2	-8
7	7	27	0.5	3/4	3/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
7	7	55/2	0.5	7/8	7/8	4/4	4	1	iv7				iv7	iv		7						mm7	-1, -4, 0, -3		-1	-1
8	8	28	1.0	0	0	4/4	4	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
8	8	29	1.0	1/4	1/4	4/4	4	1	V				V	V								M	1, 5, 2		1	1
8	8	30	1.0	1/2	1/2	4/4	4	1	VI}{				VI	VI							}{	M	-4, 0, -3		-4	-4
8	8	31	1.0	3/4	3/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
9	9	32	1.0	0	0	4/4	4	1	iv				iv	iv								m	-1, -4, 0		-1	-1
9	9	33	1.0	1/4	1/4	4/4	4	1	V+				V+	V	+							+	1, 5, 9		1	1
9	9	34	1.0	1/2	1/2	4/4	4	1	VI				VI	VI								M	-4, 0, -3		-4	-4
9	9	35	1.0	3/4	3/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
10	10	36	1.0	0	0	4/4	4	1	iv				iv	iv								m	-1, -4, 0		-1	-1
10	10	37	1.0	1/4	1/4	4/4	4	1	V+				V+	V	+							+	1, 5, 9		1	1
10	10	38	0.5	1/2	1/2	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
10	10	77/2	0.5	5/8	5/8	4/4	4	1	viio65				viio65	vii	o	65						o7	-5, -8, -11, -2		-2	-5
10	10	39	0.5	3/4	3/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
10	10	79/2	0.5	7/8	7/8	4/4	4	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
11	11	40	0.5	0	0	4/4	4	1	V(v74)				V(v74)	V			v74					M	1, 0, 2		1	1
11	11	81/2	0.5	1/8	1/8	4/4	4	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1
11	11	41	1.0	1/4	1/4	4/4	4	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
11	11	42	3.0	1/2	1/2	4/4	4	1	i}				i	i							}	m	0, -3, 1		0	0
12	12	44	0.0	0	0	4/4	4	1	{												{					
12	12	45	1.0	1/4	1/4	4/4	4	1	i6				i6	i		6						m	-3, 1, 0		0	-3
12	12	46	1.0	1/2	1/2	4/4	4	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
12	12	47	1.0	3/4	3/4	4/4	4	1	V				V	V								M	1, 5, 2		1	1
