mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1		.c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	3	1		ii2	c	i		ii2		ii		2					mm7	1	1	0, 2, -1, 3		2	0
1	1	5/8	5/8	4/4	3	1		viio7	c	i		viio7		vii	o	7					o7	1	1	-2, -5, -8, -11		-2	-2
1	1	7/8	7/8	4/4	3	1		viio(#5)	c	i		viio(#5)		vii	o		#5				o	1	1	-2, -5, -1		-2	-2
2	2	0	0	4/4	3	1		v6	c	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
2	2	1/2	1/2	4/4	3	1		V2/iv	c	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
2	2	5/8	5/8	4/4	3	1		IV6	c	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
3	3	0	0	4/4	3	1		iv6	c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	1/4	1/4	4/4	3	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
3	3	1/2	1/2	4/4	3	1		viio2	c	i		viio2		vii	o	2					o7	1	1	-11, -2, -5, -8		-2	-11
3	3	3/4	3/4	4/4	3	1		i6(#7)	c	i		i6(#7)		i		6	#7				m	1	1	-3, 1, 5		0	-3
3	3	7/8	7/8	4/4	3	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0	4/4	3	1		iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
4	4	1/4	1/4	4/4	3	1		viio7/V	c	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
4	4	1/2	1/2	4/4	3	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
4	4	5/8	5/8	4/4	3	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
5	5	1/4	1/4	4/4	3	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
