mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	2		f.i{	f	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	1/2	1/2	4/4	3	2		V(4)	f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
1	1	3/4	3/4	4/4	3	2		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	0	0	4/4	3	2		i(9)	f	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
2	2	1/4	1/4	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	1/2	1/2	4/4	3	2		V(4)/III	f	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
2	2	3/4	3/4	4/4	3	2		V6/III	f	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
3	3	0	0	4/4	3	2		III(9)	f	i		III(9)	III			9				M	1	1	-3, 1, -2	-1	-3	-3
3	3	1/4	1/4	4/4	3	2		III6	f	i		III6	III		6					M	1	1	1, -2, -3		-3	1
3	3	1/2	1/2	4/4	3	2		iv(9)	f	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
3	3	3/4	3/4	4/4	3	2		iv6	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	0	0	4/4	3	2		V(97)	f	i		V(97)	V			97				M	1	1	1, 5, 2	-4, -1	1	1
4	4	3/8	3/8	4/4	3	2		viio6	f	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
4	4	1/2	1/2	4/4	3	2		V7/iv	f	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
4	4	3/4	3/4	4/4	3	2		V/iv	f	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
5	5	0	0	4/4	3	2		iv(9)	f	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
5	5	1/4	1/4	4/4	3	2		iv6	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	1/2	1/2	4/4	3	2		V7}{	f	i		V7	V		7				}{	Mm7	1	1	1, 5, 2, -1		1	1
6	6	1/2	1/2	4/4	3	2		V(64)	f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	7	1/2	1/2	4/4	3	2		V	f	i		V	V							M	1	1	1, 5, 2		1	1
7	7	5/8	5/8	4/4	3	2		viio43	f	i		viio43	vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
7	7	3/4	3/4	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	7/8	7/8	4/4	3	2		iv7	f	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
8	8	0	0	4/4	3	2		V(64)	f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	8	1/4	1/4	4/4	3	2		V	f	i		V	V							M	1	1	1, 5, 2		1	1
8	8	1/2	1/2	4/4	3	2		VI}{	f	i		VI	VI						}{	M	1	1	-4, 0, -3		-4	-4
8	8	3/4	3/4	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	0	0	4/4	3	2		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	9	1/4	1/4	4/4	3	2		V+	f	i		V+	V	+						+	1	1	1, 5, 9		1	1
9	9	1/2	1/2	4/4	3	2		VI	f	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	9	3/4	3/4	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	0	0	4/4	3	2		iv	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
10	10	1/4	1/4	4/4	3	2		V+	f	i		V+	V	+						+	1	1	1, 5, 9		1	1
10	10	1/2	1/2	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	5/8	5/8	4/4	3	2		viio65	f	i		viio65	vii	o	65					o7	1	1	-5, -8, -11, -2		-2	-5
10	10	3/4	3/4	4/4	3	2		i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
