mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	2		.c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	1/8	1/8	3/8	2	2		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
3	3	0	0	3/8	2	2		iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	1/8	1/8	3/8	2	2		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	3	1/4	1/4	3/8	2	2		V2	c	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	4	0	0	3/8	2	2		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	1/8	1/8	3/8	2	2		VI(4)	c	i		VI(4)		VI			4				M	1	1	-4, 2, -3		-4	-4
4	4	1/4	1/4	3/8	2	2		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
5	5	0	0	3/8	2	2		iio6	c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
5	5	1/8	1/8	3/8	2	2		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
5	5	1/4	1/4	3/8	2	2		V2	c	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	0	0	3/8	2	2		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	1/8	1/8	3/8	2	2		VII6	c	i		VII6		VII		6					M	1	1	2, -1, -2		-2	2
6	6	1/4	1/4	3/8	2	2		VI6	c	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
7	7	0	0	3/8	2	2		viio65	c	i		viio65		vii	o	65					o7	1	1	-5, -8, -11, -2		-2	-5
7	7	1/8	1/8	3/8	2	2		V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
7	7	1/4	1/4	3/8	2	2		viio43/V	c	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
8	8	0	0	3/8	2	2		V6	c	i		V6		V		6					M	1	1	5, 2, 1		1	5
8	8	1/8	1/8	3/8	2	2		IV6	c	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3
8	8	1/4	1/4	3/8	2	2		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	0	0	3/8	2	2		i	c	i		i		i							m	1	1	0, -3, 1		0	0
9	9	1/8	1/8	3/8	2	2		viio6	c	i		viio6		vii	o	6					o	1	1	-5, -8, -2		-2	-5
9	9	1/4	1/4	3/8	2	2		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
