mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	3	1	Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	2	2	2.0	0	0	2/4	3	1	ii2	Eb	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
3	3	4	4	1.0	0	0	2/4	3	1	V65(2)	Eb	I		V65(2)	V		65	2				Mm7	0	0	5, 2, -1, 3		1	5
3	3	5	5	0.5	1/4	1/4	2/4	3	1	V(9)	Eb	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1
3	3	11/2	11/2	0.5	3/8	3/8	2/4	3	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
4	4	6	6	2.0	0	0	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
5	5	8	8	1.0	0	0	2/4	3	1	ii2	Eb	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
5	5	9	9	0.5	1/4	1/4	2/4	3	1	V6(9)	Eb	I		V6(9)	V		6	9				M	0	0	5, 2, 1	3	1	5
5	5	19/2	19/2	0.5	3/8	3/8	2/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	10	10	2.0	0	0	2/4	3	1	I}	Eb	I		I	I						}	M	0	0	0, 4, 1		0	0
7	7	12	12	1.0	0	0	2/4	3	1	I6{	Eb	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
7	7	13	13	1.0	1/4	1/4	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
8	8	14	14	1.0	0	0	2/4	3	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	15	15	1.0	1/4	1/4	2/4	3	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	16	16	1.0	0	0	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
9	9	17	17	1.0	1/4	1/4	2/4	3	1	vii%7/V	Eb	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
10	10	18	18	0.5	0	0	2/4	3	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
10	10	37/2	37/2	0.5	1/8	1/8	2/4	3	1	V}	Eb	I		V	V						}	M	0	0	1, 5, 2		1	1
10	10	19	19	1.0	1/4	1/4	2/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	20	20	1.0	0	0	2/4	3	1	IV{	Eb	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
11	11	21	21	1.0	1/4	1/4	2/4	3	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
12	12	22	22	1.0	0	0	2/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	23	23	1.0	1/4	1/4	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
13	13	24	24	1.0	0	0	2/4	3	1	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	25	25	1.0	1/4	1/4	2/4	3	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
14	14	26	26	1.0	0	0	2/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	27	27	1.0	1/4	1/4	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
15	15	28	28	1.0	0	0	2/4	3	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	15	29	29	1.0	1/4	1/4	2/4	3	1	ii2	Eb	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
16	16	30	30	1.0	0	0	2/4	3	1	viio	Eb	I		viio	vii	o						o	0	0	5, 2, -1		5	5
16	16	31	31	1.0	1/4	1/4	2/4	3	1	ii64	Eb	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
17	17	32	32	1.0	0	0	2/4	3	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	33	33	1.0	1/4	1/4	2/4	3	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	34	34	0.5	0	0	2/4	3	1	I(4)	Eb	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
18	18	69/2	69/2	0.5	1/8	1/8	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
18	18	35	35	1.0	1/4	1/4	2/4	3	1	ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
19	19	36	36	1.0	0	0	2/4	3	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
19	19	37	37	1.0	1/4	1/4	2/4	3	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	38	38	1.0	0	0	2/4	3	1	I}{	Eb	I		I	I						}{	M	0	0	0, 4, 1		0	0
20	20	39	39	1.0	1/4	1/4	2/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	40	40	1.0	0	0	2/4	3	1	ii65	Eb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
21	21	41	41	0.5	1/4	1/4	2/4	3	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
21	21	83/2	83/2	0.5	3/8	3/8	2/4	3	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	42	42	1.0	0	0	2/4	3	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	43	43	1.0	1/4	1/4	2/4	3	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	23	44	44	1.0	0	0	2/4	3	1	ii65	Eb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
23	23	45	45	0.5	1/4	1/4	2/4	3	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
23	23	91/2	91/2	0.5	3/8	3/8	2/4	3	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	24	46	46	2.0	0	0	2/4	3	1	I}	Eb	I		I	I						}	M	0	0	0, 4, 1		0	0
25	25	48	48	2.0	0	0	2/4	3	1	I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
26	26	50	50	2.0	0	0	2/4	3	1	ii2	Eb	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
27	27	52	52	1.0	0	0	2/4	3	1	V65(2)	Eb	I		V65(2)	V		65	2				Mm7	0	0	5, 2, -1, 3		1	5
27	27	53	53	0.5	1/4	1/4	2/4	3	1	V(9)	Eb	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1
27	27	107/2	107/2	0.5	3/8	3/8	2/4	3	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
28	28	54	54	2.0	0	0	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
29	29	56	56	1.0	0	0	2/4	3	1	ii2	Eb	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
29	29	57	57	0.5	1/4	1/4	2/4	3	1	V65(9)	Eb	I		V65(9)	V		65	9				Mm7	0	0	5, 2, -1, 1	3	1	5
29	29	115/2	115/2	0.5	3/8	3/8	2/4	3	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
30	30	58	58	2.0	0	0	2/4	3	1	I}	Eb	I		I	I						}	M	0	0	0, 4, 1		0	0
31	31	60	60	1.0	0	0	2/4	3	1	I6{	Eb	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
31	31	61	61	1.0	1/4	1/4	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
32	32	62	62	1.0	0	0	2/4	3	1	ii	Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
32	32	63	63	1.0	1/4	1/4	2/4	3	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
33	33	64	64	1.0	0	0	2/4	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
33	33	65	65	1.0	1/4	1/4	2/4	3	1	vii%7/V	Eb	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
34	34	66	66	0.5	0	0	2/4	3	1	V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
34	34	133/2	133/2	1.5	1/8	1/8	2/4	3	1	V}	Eb	I		V	V						}	M	0	0	1, 5, 2		1	1
35	35	68	68	1.0	0	0	2/4	3	1	V.I6{	Eb	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
35	35	69	69	1.0	1/4	1/4	2/4	3	1	V65/V	Eb	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
36	36	70	70	1.0	0	0	2/4	3	1	V(4)	Eb	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
36	36	71	71	1.0	1/4	1/4	2/4	3	1	V	Eb	V		V	V							M	0	0	1, 5, 2		1	1
37	37	72	72	1.0	0	0	2/4	3	1	IV6	Eb	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
37	37	73	73	1.0	1/4	1/4	2/4	3	1	viio/V	Eb	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
38	38	74	74	1.0	0	0	2/4	3	1	V(4)	Eb	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
38	38	75	75	1.0	1/4	1/4	2/4	3	1	V6	Eb	V		V6	V		6					M	0	0	5, 2, 1		1	5
39	39	76	76	1.0	0	0	2/4	3	1	IV	Eb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
39	39	77	77	1.0	1/4	1/4	2/4	3	1	viio6	Eb	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
40	40	78	78	1.0	0	0	2/4	3	1	I6	Eb	V		I6	I		6					M	0	0	4, 1, 0		0	4
