mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	4/2	1	1	0					f									
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0							Allegro	200.0	1.0					
1	1	0	0	4.0	0	0	Chord	4/2	1	1	1	1	1	0	Fac,										
1	1	4	4	4.0	1	1	Chord	4/2	1	1	1	1	1	1	ut										
1	1	0	0	0.0	0	0	Dynamic	4/2	3	1	0					f									
1	1	0	0	4.0	0	0	Chord	4/2	3	1	1	1	1	2											
1	1	4	4	4.0	1	1	Chord	4/2	3	1	1	1	1	3											
1	1	1	1	1.0	1/4	1/4	Chord	4/2	3	2	1/4	1/4	1	4											
1	1	2	2	1.0	1/2	1/2	Chord	4/2	3	2	1/4	1/4	1	5											
1	1	3	3	1.0	3/4	3/4	Chord	4/2	3	2	1/4	1/4	1	6											
1	1	4	4	1.0	1	1	Chord	4/2	3	2	1/4	1/4	1	7											
1	1	5	5	1.0	5/4	5/4	Chord	4/2	3	2	1/4	1/4	1	8											
1	1	6	6	1.0	3/2	3/2	Chord	4/2	3	2	1/4	1/4	1	9											
1	1	7	7	1.0	7/4	7/4	Chord	4/2	3	2	1/4	1/4	1	10											
2	2	8	8	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	11	ar-										
2	2	11	11	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	12	-de-										
2	2	12	12	1.0	1	1	Chord	4/2	1	1	1/4	1/4	1	13	-at						0				
2	2	13	13	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	14											
2	2	14	14	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	15	cor						1				
2	2	15	15	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	16											
2	2	8	8	3.0	0	0	Chord	4/2	3	1	3/4	1/2	3/2	17											
2	2	11	11	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	18											
2	2	12	12	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	19											
2	2	13	13	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	20											
2	2	14	14	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	21											
2	2	15	15	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	22											
2	2	8	8	1.0	0	0	Chord	4/2	3	2	1/4	1/4	1	23											
2	2	9	9	1.0	1/4	1/4	Chord	4/2	3	2	1/4	1/4	1	24											
2	2	10	10	2.0	1/2	1/2	Chord	4/2	3	2	1/2	1/2	1	25											
2	2	12	12	2.0	1	1	Chord	4/2	3	2	1/2	1/2	1	26											
2	2	14	14	2.0	3/2	3/2	Chord	4/2	3	2	1/2	1/2	1	27											
3	3	16	16	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	28	me-										
3	3	18	18	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	29	-um										
3	3	20	20	1.0	1	1	Chord	4/2	1	1	1/4	1/4	1	30	in						2				
3	3	21	21	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	31											
3	3	22	22	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	32	a-						3				
3	3	23	23	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	33											
3	3	16	16	0.0	0	0	Dynamic	4/2	2	1	0					f									
3	3	16	16	4.0	0	0	Chord	4/2	2	1	1	1	1	34	Fac,										
3	3	20	20	4.0	1	1	Chord	4/2	2	1	1	1	1	35	ut										
3	3	16	16	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	36											
3	3	17	17	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	37											
3	3	18	18	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	38											
3	3	19	19	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	39											
3	3	20	20	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	40											
3	3	21	21	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	41											
3	3	22	22	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	42											
3	3	23	23	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	43											
3	3	16	16	4.0	0	0	Chord	4/2	3	2	1	1	1	44											
3	3	20	20	4.0	1	1	Chord	4/2	3	2	1	1	1	45											
3	3	22	22	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	46											
4	4	24	24	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	47	-man-										
4	4	25	25	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	48	-do										
4	4	26	26	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	49	Chri-										
4	4	28	28	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	50											
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	51	-stum										
4	4	24	24	3.0	0	0	Chord	4/2	2	1	3/4	1/2	3/2	52	ar-										
4	4	27	27	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	53	-de-										
4	4	28	28	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	54	-at						4				
4	4	29	29	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	55											
4	4	30	30	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	56	cor						5				
4	4	31	31	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	57											
4	4	24	24	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	58											
4	4	25	25	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	59											
4	4	26	26	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	60											
4	4	28	28	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	61											
4	4	30	30	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	62											
4	4	24	24	4.0	0	0	Chord	4/2	3	2	1	1	1	63											
4	4	28	28	1.0	1	1	Chord	4/2	3	2	1/4	1/4	1	64											
4	4	29	29	1.0	5/4	5/4	Chord	4/2	3	2	1/4	1/4	1	65											
4	4	30	30	1.0	3/2	3/2	Chord	4/2	3	2	1/4	1/4	1	66											
4	4	31	31	1.0	7/4	7/4	Chord	4/2	3	2	1/4	1/4	1	67											
4	4	24	24	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	68											
4	4	26	26	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	69											
4	4	28	28	4.0	1	1	Chord	4/2	4	1	1	1	1	70											
5	5	32	32	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	71	De-										
5	5	34	34	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	72	-um,										
5	5	38	38	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	73	Chri-										
5	5	32	32	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	74	me-										
5	5	34	34	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	75	-um										
5	5	36	36	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	76	in						6				
5	5	37	37	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	77											
5	5	38	38	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	78	a-						7				
5	5	39	39	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	79											
5	5	32	32	2.0	0	0	Chord	4/2	3	1	1/2	1/2	1	80											
5	5	34	34	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	81											
5	5	36	36	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	82											
5	5	37	37	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	83											
5	5	38	38	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	84											
5	5	39	39	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	85											
5	5	32	32	1.0	0	0	Chord	4/2	3	2	1/4	1/4	1	86											
5	5	33	33	1.0	1/4	1/4	Chord	4/2	3	2	1/4	1/4	1	87											
5	5	34	34	1.0	1/2	1/2	Chord	4/2	3	2	1/4	1/4	1	88											
5	5	35	35	1.0	3/4	3/4	Chord	4/2	3	2	1/4	1/4	1	89											
5	5	38	38	2.0	3/2	3/2	Chord	4/2	3	2	1/2	1/2	1	90											
5	5	32	32	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	91											
5	5	34	34	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	92											
5	5	36	36	4.0	1	1	Chord	4/2	4	1	1	1	1	93											
5	5	32	32	4.0	0	0	Chord	4/2	4	2	1	1	1	94											
5	5	36	36	2.0	1	1	Chord	4/2	4	2	1/2	1/2	1	95											
6	6	40	40	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	96											
6	6	42	42	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	97	-stum										
6	6	44	44	0.0	1	1	Spanner	4/2	1	1	0													0	
6	6	44	44	4.0	1	1	Chord	4/2	1	1	1	1	1	98	De-									0	
6	6	40	40	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	99	-man-										
6	6	41	41	1.0	1/4	1/4	Chord	4/2	2	1	1/4	1/4	1	100	-do										
6	6	42	42	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	101	Chri-										
6	6	44	44	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	102											
6	6	46	46	0.0	3/2	3/2	Spanner	4/2	2	1	0													1	
6	6	46	46	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	103	-stum									1	
6	6	40	40	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	104											
6	6	41	41	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	105											
6	6	42	42	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	106											
6	6	44	44	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	107											
6	6	46	46	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	108											
6	6	40	40	2.0	0	0	Chord	4/2	3	2	1/2	1/2	1	109											
6	6	42	42	2.0	1/2	1/2	Chord	4/2	3	2	1/2	1/2	1	110											
6	6	44	44	4.0	1	1	Chord	4/2	3	2	1	1	1	111											
6	6	40	40	2.0	0	0	Chord	4/2	4	1	1/2	1/2	1	112											
6	6	42	42	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	113											
6	6	44	44	4.0	1	1	Chord	4/2	4	1	1	1	1	114											
6	6	40	40	3.0	0	0	Chord	4/2	4	2	3/4	1/2	3/2	115											
6	6	43	43	1.0	3/4	3/4	Chord	4/2	4	2	1/4	1/4	1	116											
6	6	44	44	1.0	1	1	Chord	4/2	4	2	1/4	1/4	1	117											
6	6	45	45	1.0	5/4	5/4	Chord	4/2	4	2	1/4	1/4	1	118											
6	6	46	46	1.0	3/2	3/2	Chord	4/2	4	2	1/4	1/4	1	119											
6	6	47	47	1.0	7/4	7/4	Chord	4/2	4	2	1/4	1/4	1	120											
7	7	48	48	0.0	0	0	Spanner	4/2	1	1	0														
7	7	48	48	4.0	0	0	Chord	4/2	1	1	1	1	1	121	-um,										
7	7	52	52	4.0	1	1	Chord	4/2	1	1	1	1	1	122	ut										
7	7	48	48	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	123	De-									1	
7	7	50	50	0.0	1/2	1/2	Spanner	4/2	2	1	0														
7	7	50	50	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	124	-um,										
7	7	54	54	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	125	Chri-										
7	7	48	48	0.0	0	0	Dynamic	4/2	3	1	0					f									
7	7	48	48	4.0	0	0	Chord	4/2	3	1	1	1	1	126											
7	7	52	52	4.0	1	1	Chord	4/2	3	1	1	1	1	127											
7	7	54	54	2.0	3/2	3/2	Chord	4/2	3	2	1/2	1/2	1	128											
7	7	48	48	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	129											
7	7	49	49	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	130											
7	7	50	50	1.0	1/2	1/2	Chord	4/2	4	1	1/4	1/4	1	131											
7	7	51	51	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	132											
7	7	52	52	1.0	1	1	Chord	4/2	4	1	1/4	1/4	1	133											
7	7	53	53	1.0	5/4	5/4	Chord	4/2	4	1	1/4	1/4	1	134											
7	7	54	54	1.0	3/2	3/2	Chord	4/2	4	1	1/4	1/4	1	135											
7	7	55	55	1.0	7/4	7/4	Chord	4/2	4	1	1/4	1/4	1	136											
7	7	48	48	1.0	0	0	Chord	4/2	4	2	1/4	1/4	1	137											
7	7	49	49	1.0	1/4	1/4	Chord	4/2	4	2	1/4	1/4	1	138											
7	7	50	50	1.0	1/2	1/2	Chord	4/2	4	2	1/4	1/4	1	139											
7	7	51	51	1.0	3/4	3/4	Chord	4/2	4	2	1/4	1/4	1	140											
8	8	56	56	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	141	si-						8				
8	8	59	59	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	142											
8	8	60	60	1.0	1	1	Chord	4/2	1	1	1/4	1/4	1	143	-bi						9				
8	8	61	61	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	144											
8	8	62	62	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	145	com-						10				
8	8	63	63	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	146											
8	8	56	56	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	147											
8	8	58	58	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	148	-stum										
8	8	60	60	4.0	1	1	Chord	4/2	2	1	1	1	1	149	De-										
8	8	56	56	3.0	0	0	Chord	4/2	3	1	3/4	1/2	3/2	150											
8	8	59	59	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	151											
