mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin
8	8	60	60	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	152											
8	8	61	61	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	153											
8	8	62	62	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	154											
8	8	63	63	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	155											
8	8	56	56	2.0	0	0	Chord	4/2	3	2	1/2	1/2	1	156											
8	8	58	58	2.0	1/2	1/2	Chord	4/2	3	2	1/2	1/2	1	157											
8	8	60	60	2.0	1	1	Chord	4/2	3	2	1/2	1/2	1	158											
8	8	62	62	2.0	3/2	3/2	Chord	4/2	3	2	1/2	1/2	1	159											
8	8	60	60	4.0	1	1	Chord	4/2	3	3	1	1	1	160											
8	8	56	56	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	161											
8	8	57	57	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	162											
8	8	58	58	2.0	1/2	1/2	Chord	4/2	4	1	1/2	1/2	1	163											
8	8	60	60	0.0	1	1	Spanner	4/2	4	1	0													2	
8	8	60	60	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	164										2	
8	8	62	62	2.0	3/2	3/2	Chord	4/2	4	1	1/2	1/2	1	165										2	
9	9	64	64	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	166	-pla-										
9	9	65	65	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	167											
9	9	66	66	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	168							11				
9	9	67	67	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	169											
9	9	69	69	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	170											
9	9	70	70	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	171							12				
9	9	71	71	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	172											
9	9	64	64	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	173	-um,										
9	9	66	66	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	174	ut										
9	9	68	68	4.0	1	1	Chord	4/2	2	1	1	1	1	175	si-										
9	9	64	64	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	176											
9	9	65	65	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	177											
9	9	66	66	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	178							13				
9	9	67	67	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	179											
9	9	69	69	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	180											
9	9	70	70	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	181							14				
9	9	71	71	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	182											
9	9	64	64	1.0	0	0	Chord	4/2	3	2	1/4	1/4	1	183											
9	9	65	65	1.0	1/4	1/4	Chord	4/2	3	2	1/4	1/4	1	184											
9	9	66	66	2.0	1/2	1/2	Chord	4/2	3	2	1/2	1/2	1	185											
9	9	68	68	4.0	1	1	Chord	4/2	3	2	1	1	1	186											
9	9	64	64	0.0	0	0	Dynamic	4/2	4	1	0					p									
9	9	64	64	0.0	0	0	Spanner	4/2	4	1	0														
9	9	64	64	4.0	0	0	Chord	4/2	4	1	1	1	1	187											
9	9	68	68	4.0	1	1	Chord	4/2	4	1	1	1	1	188											
10	10	73	73	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	189											
10	10	74	74	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	190							15				
10	10	75	75	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	191											
10	10	77	77	0.0	5/4	5/4	Spanner	4/2	1	1	0												0		
10	10	77	77	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	192									0		
10	10	78	78	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	193							16		0		
10	10	79	79	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	194									0		
10	10	72	72	4.0	0	0	Chord	4/2	2	1	1	1	1	195	-bi										
10	10	76	76	0.0	1	1	Spanner	4/2	2	1	0												1		
10	10	76	76	4.0	1	1	Chord	4/2	2	1	1	1	1	196	com-								1		
10	10	73	73	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	197											
10	10	74	74	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	198							17				
10	10	75	75	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	199											
10	10	77	77	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	200											
10	10	78	78	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	201							18				
10	10	79	79	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	202											
10	10	72	72	4.0	0	0	Chord	4/2	3	2	1	1	1	203											
10	10	76	76	4.0	1	1	Chord	4/2	3	2	1	1	1	204											
10	10	72	72	4.0	0	0	Chord	4/2	4	1	1	1	1	205											
10	10	76	76	0.0	1	1	Spanner	4/2	4	1	0												2		
10	10	76	76	4.0	1	1	Chord	4/2	4	1	1	1	1	206									2		
11	11	81	81	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	207									0		
11	11	82	82	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	208							19		0		
11	11	83	83	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	209									0		
11	11	85	85	0.0	5/4	5/4	Dynamic	4/2	1	1	0					mf									
11	11	85	85	0.0	5/4	5/4	Spanner	4/2	1	1	0														
11	11	85	85	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	210			articStaccatoAbove								
11	11	86	86	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	211			articStaccatoAbove								
11	11	87	87	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	212			articStaccatoAbove								
11	11	80	80	4.0	0	0	Chord	4/2	2	1	1	1	1	213	-pla-								1		
11	11	85	85	0.0	5/4	5/4	Dynamic	4/2	2	1	0					mf									
11	11	85	85	0.0	5/4	5/4	Spanner	4/2	2	1	0														
11	11	85	85	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	214			articStaccatoAbove								
11	11	86	86	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	215			articStaccatoBelow								
11	11	87	87	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	216			articStaccatoAbove								
11	11	81	81	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	217											
11	11	82	82	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	218							20				
11	11	83	83	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	219											
11	11	85	85	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	220			articStaccatissimoAbove								
11	11	86	86	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	221			articStaccatissimoAbove								
11	11	87	87	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	222			articStaccatissimoAbove								
11	11	80	80	4.0	0	0	Chord	4/2	3	2	1	1	1	223											
11	11	85	85	3.0	5/4	5/4	Chord	4/2	3	2	3/4	1/2	3/2	224											
11	11	80	80	4.0	0	0	Chord	4/2	4	1	1	1	1	225									2		
11	11	84	84	0.0	1	1	Dynamic	4/2	4	1	0					mf									
11	11	84	84	0.0	1	1	Spanner	4/2	4	1	0														
11	11	84	84	4.0	1	1	Chord	4/2	4	1	1	1	1	226											
12	12	88	88	4.0	0	0	Chord	4/2	1	1	1	1	1	227			ornamentTrill								
12	12	93	93	0.0	5/4	5/4	Dynamic	4/2	1	1	0					p									
12	12	93	93	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	228											
12	12	94	94	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	229											
12	12	95	95	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	230											
12	12	88	88	4.0	0	0	Chord	4/2	2	1	1	1	1	231			ornamentTrill								
12	12	93	93	0.0	5/4	5/4	Dynamic	4/2	2	1	0					p									
12	12	93	93	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	232											
12	12	94	94	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	233											
12	12	95	95	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	234											
12	12	88	88	4.0	0	0	Chord	4/2	3	1	1	1	1	235											
12	12	93	93	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	236							21				
12	12	94	94	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	237							21				
12	12	95	95	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	238							21				
12	12	88	88	4.0	0	0	Chord	4/2	3	2	1	1	1	239											
12	12	93	93	3.0	5/4	5/4	Chord	4/2	3	2	3/4	1/2	3/2	240											
12	12	88	88	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	241											
12	12	89	89	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	242											
12	12	90	90	1.0	1/2	1/2	Chord	4/2	4	1	1/4	1/4	1	243											
12	12	91	91	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	244											
12	12	92	92	0.0	1	1	Dynamic	4/2	4	1	0					p									
12	12	92	92	4.0	1	1	Chord	4/2	4	1	1	1	1	245											
13	13	96	96	4.0	0	0	Chord	4/2	1	1	1	1	1	246			ornamentTrill								
13	13	100	100	0.0	1	1	Spanner	4/2	1	1	0														0
13	13	100	100	1.5	1	1	Chord	4/2	1	1	3/8	1/4	3/2	247			ornamentTrill								0
13	13	203/2	203/2	0.25	11/8	11/8	Chord	4/2	1	1	1/16	1/16	1	248											0
13	13	407/4	407/4	0.25	23/16	23/16	Chord	4/2	1	1	1/16	1/16	1	249											0
13	13	102	102	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	250											0
13	13	96	96	4.0	0	0	Chord	4/2	2	1	1	1	1	251			ornamentTrill								
13	13	100	100	0.0	1	1	Spanner	4/2	2	1	0														1
13	13	100	100	1.5	1	1	Chord	4/2	2	1	3/8	1/4	3/2	252			ornamentTrill								1
13	13	203/2	203/2	0.25	11/8	11/8	Chord	4/2	2	1	1/16	1/16	1	253											1
13	13	407/4	407/4	0.25	23/16	23/16	Chord	4/2	2	1	1/16	1/16	1	254											1
13	13	102	102	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	255											1
13	13	96	96	4.0	0	0	Chord	4/2	3	1	1	1	1	256											
13	13	96	96	4.0	0	0	Chord	4/2	3	2	1	1	1	257											
13	13	100	100	1.5	1	1	Chord	4/2	3	2	3/8	1/4	3/2	258			ornamentTrill				22				
13	13	203/2	203/2	0.25	11/8	11/8	Chord	4/2	3	2	1/16	1/16	1	259							22				
13	13	407/4	407/4	0.25	23/16	23/16	Chord	4/2	3	2	1/16	1/16	1	260							22				
13	13	102	102	2.0	3/2	3/2	Chord	4/2	3	2	1/2	1/2	1	261											
13	13	96	96	1.0	0	0	Chord	4/2	4	1	1/4	1/4	1	262											
13	13	97	97	1.0	1/4	1/4	Chord	4/2	4	1	1/4	1/4	1	263							23				
13	13	98	98	1.0	1/2	1/2	Chord	4/2	4	1	1/4	1/4	1	264							23				
13	13	99	99	1.0	3/4	3/4	Chord	4/2	4	1	1/4	1/4	1	265							23				
13	13	100	100	0.0	1	1	Spanner	4/2	4	1	0														2
13	13	100	100	2.0	1	1	Chord	4/2	4	1	1/2	1/2	1	266											2
13	13	102	102	1.0	3/2	3/2	Chord	4/2	4	1	1/4	1/4	1	267											2
13	13	103	103	1.0	7/4	7/4	Chord	4/2	4	1	1/4	1/4	1	268											2
13	13	100	100	3.0	1	1	Chord	4/2	4	2	3/4	1/2	3/2	269											2
13	13	103	103	1.0	7/4	7/4	Chord	4/2	4	2	1/4	1/4	1	270											2
14	14	104	104	0.0	0	0	Spanner	4/2	1	1	0														
14	14	104	104	1.5	0	0	Chord	4/2	1	1	3/8	1/4	3/2	271			ornamentTrill								
14	14	211/2	211/2	0.25	3/8	3/8	Chord	4/2	1	1	1/16	1/16	1	272											
14	14	423/4	423/4	0.25	7/16	7/16	Chord	4/2	1	1	1/16	1/16	1	273											
14	14	106	106	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	274			articStaccatissimoAbove								
14	14	108	108	4.0	1	1	Chord	4/2	1	1	1	1	1	275											
14	14	104	104	0.0	0	0	Spanner	4/2	2	1	0														
14	14	104	104	1.5	0	0	Chord	4/2	2	1	3/8	1/4	3/2	276			ornamentTrill								
14	14	211/2	211/2	0.25	3/8	3/8	Chord	4/2	2	1	1/16	1/16	1	277											
14	14	423/4	423/4	0.25	7/16	7/16	Chord	4/2	2	1	1/16	1/16	1	278											
14	14	106	106	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	279			articStaccatissimoAbove								
14	14	108	108	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	280											
14	14	109	109	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	281											
14	14	110	110	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	282											
