mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									Andanteamoroso	55.0			1.0				
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									𝅘𝅥.=63	95.0	𝅘𝅥.	63.0	0.0				
1	1	0	0	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	0													
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	1													
1	1	0	0	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	2													
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	3													
1	1	0	0	1.5	0	0	Chord	3/8	2	3	3/8		1/4	3/2	4													
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0						p											
1	1	0	0	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	5													
1	1	1	1	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	6													
2	2	3/2	3/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	7													
2	2	2	2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	8													
2	2	3/2	3/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	9													
2	2	3/2	3/2	0.0	0	0	Spanner	3/8	3	1	0															0		
2	2	3/2	3/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	10											0		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	11											0		
2	2	3/2	3/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	12											0		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	13											0		
3	3	3	3	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	14													
3	3	7/2	7/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	15			articTenutoAbove										
3	3	3	3	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	16													
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	17													
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	18											0		
3	3	7/2	7/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	19											0		
3	3	4	4	0.0	1/4	1/4	Spanner	3/8	3	1	0																	
3	3	3	3	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	20													
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	21													
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	22			articStaccatoAbove										
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	23			articStaccatoAbove										
4	4	9/2	9/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	24													
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	25													
4	4	9/2	9/2	0.0	0	0	Dynamic	3/8	3	1	0						f											
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	26													
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	27													
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	28													
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	29													
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	30			articStaccatoAbove										
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	31													
5	5	6	6	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	32													
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	33													
5	5	6	6	1.5	0	0	Chord	3/8	2	3	3/8		1/4	3/2	34													
5	5	6	6	0.0	0	0	Dynamic	3/8	3	1	0						p											
5	5	6	6	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	35													
5	5	7	7	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	36													
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	37			articStaccatoAbove										
6	6	8	8	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	38													
6	6	15/2	15/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	39													
6	6	15/2	15/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	40													
6	6	17/2	17/2	0.0	1/4	1/4	Spanner	3/8	3	1	0															1		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	41											1		
6	6	15/2	15/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	42											1		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	43											1		
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	44			articStaccatoAbove										
7	7	19/2	19/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	45													
7	7	9	9	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	46													
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	47													
7	7	9	9	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	48											1		
7	7	19/2	19/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	49											1		
7	7	9	9	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	50											1		
