mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	HairPin:3_dim. e rit.	crescendo_line
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									Largo	35.0			1.0						
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0								Sopr. Solo											
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0						p													
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0						
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	0	Quis														
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	1	est														
1	1	2	2	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	2	ho-									0					
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	3															
1	1	5/2	5/2	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	4															
1	1	5/2	5/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	5	-mo,														
1	1	0	0	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	6															
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	7															
1	1	1	1	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	8															
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	9															
1	1	2	2	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	10															
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	11															
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	12															
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	13															
1	1	0	0	0.0	0	0	Dynamic	4/4	4	1	0						p													
1	1	0	0	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	14															
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	15															
1	1	1	1	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	16															
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	17															
1	1	2	2	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	18															
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	19															
1	1	3	3	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	20															
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	21															
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	22	qui														
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	23	non														
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	24	fle-														
2	2	13/2	13/2	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	25															
2	2	13/2	13/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	26	-ret,														
2	2	4	4	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	27															
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	28															
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	29															
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	30															
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	31															
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	32															
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	33															
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	34															
2	2	4	4	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	35															
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	36															
2	2	5	5	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	37															
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	38															
2	2	6	6	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	39															
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	40															
2	2	7	7	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	41															
