mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									Largo	36.0			1.0				
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									"𝅘𝅥=78
"	78.0	𝅘𝅥	78.0	0.0				
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	0													
1	1	1/2	1/2	0.375	1/8	1/8	Chord	4/4	2	1	3/32		1/16	3/2	1													
1	1	7/8	7/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	2													
1	1	1	1	0.375	1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	3													
1	1	11/8	11/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	4													
1	1	3/2	3/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	5													
1	1	15/8	15/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	6													
1	1	2	2	0.375	1/2	1/2	Chord	4/4	2	1	3/32		1/16	3/2	7													
1	1	19/8	19/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	8													
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	9													
1	1	0	0	0.0	0	0	Dynamic	4/4	3	1	0						f											
1	1	0	0	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	10													
1	1	1/2	1/2	0.375	1/8	1/8	Chord	4/4	3	1	3/32		1/16	3/2	11													
1	1	7/8	7/8	0.125	7/32	7/32	Chord	4/4	3	1	1/32		1/32	1	12													
1	1	1	1	0.375	1/4	1/4	Chord	4/4	3	1	3/32		1/16	3/2	13													
1	1	11/8	11/8	0.125	11/32	11/32	Chord	4/4	3	1	1/32		1/32	1	14													
1	1	3/2	3/2	0.375	3/8	3/8	Chord	4/4	3	1	3/32		1/16	3/2	15													
1	1	15/8	15/8	0.125	15/32	15/32	Chord	4/4	3	1	1/32		1/32	1	16													
1	1	2	2	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	17													
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	18													
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	19													
2	2	9/2	9/2	0.375	1/8	1/8	Chord	4/4	2	1	3/32		1/16	3/2	20													
2	2	39/8	39/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	21													
2	2	5	5	0.375	1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	22													
2	2	43/8	43/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	23													
2	2	11/2	11/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	24													
2	2	47/8	47/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	25													
2	2	6	6	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	26													
2	2	25/4	25/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	27													
2	2	13/2	13/2	0.0	5/8	5/8	Chord	4/4	2	1	0	appoggiatura	1/8	1	28													
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	29													
2	2	4	4	0.0	0	0	Dynamic	4/4	3	1	0						p											
2	2	4	4	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	30													
2	2	9/2	9/2	0.375	1/8	1/8	Chord	4/4	3	1	3/32		1/16	3/2	31													
2	2	39/8	39/8	0.125	7/32	7/32	Chord	4/4	3	1	1/32		1/32	1	32													
2	2	5	5	0.375	1/4	1/4	Chord	4/4	3	1	3/32		1/16	3/2	33													
2	2	43/8	43/8	0.125	11/32	11/32	Chord	4/4	3	1	1/32		1/32	1	34													
2	2	11/2	11/2	0.375	3/8	3/8	Chord	4/4	3	1	3/32		1/16	3/2	35													
2	2	47/8	47/8	0.125	15/32	15/32	Chord	4/4	3	1	1/32		1/32	1	36													
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	37													
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	38													
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	39													
3	3	17/2	17/2	0.375	1/8	1/8	Chord	4/4	2	1	3/32		1/16	3/2	40													
3	3	71/8	71/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	41													
3	3	9	9	0.375	1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	42													
3	3	75/8	75/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	43													
