mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									Andantino	55.0			1.0					
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									"𝅘𝅥.=63
"	95.0	𝅘𝅥.	63.0	0.0					
1	1	0	0	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	0			articStaccatoAbove											
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	1			articTenutoStaccatoAbove											
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	2			articTenutoStaccatoAbove											
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0						other-dynamics												
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	2	1/16		1/16	1	3														
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16		1/16	1	4														
2	2	2	2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	5														
2	2	3/2	3/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	6														
2	2	3/2	3/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	7														
2	2	2	2	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	8														
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	9														
3	3	3	3	0.25	0	0	Chord	3/8	2	2	1/16		1/16	1	10										0				
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16		1/16	1	11										0				
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	12														
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	13			articStaccatoAbove											
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	14										1				
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	15										1				
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	16														
4	4	9/2	9/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	17														
