mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Allegro	76.0			1.0					
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=96	96.0	𝅘𝅥	96.0	0.0					
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					other-dynamics												
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	0			articStaccatoAbove											
1	1	1/2	1/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	1										0				
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	2										0				
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	3														
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	4														
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	5														
1	1	0	0	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	6														
1	1	1	1	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	7														
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	8			articStaccatoAbove											
2	2	5/2	5/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																	0
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	9										1				0
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	10										1				0
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	11														0
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	12														
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	13														
2	2	2	2	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	14														
2	2	3	3	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	15														
3	3	4	4	0.0	0	0	Dynamic	2/4	2	1	0					mf												
3	3	4	4	0.0	0	0	Spanner	2/4	2	1	0																	
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	16			articStaccatoAbove											
3	3	9/2	9/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	17										2				
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	18										2				
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	19														
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	20														
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	21														
3	3	4	4	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	22														
3	3	5	5	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	23														
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	24			articStaccatoAbove											
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	25										3				
4	4	15/2	15/2	0.0	3/8	3/8	Dynamic	2/4	2	1	0					p								3				
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	26										3				
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	27														
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	28														
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	29														
4	4	6	6	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	30														
4	4	7	7	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	31														
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	32			articStaccatoAbove											
5	5	17/2	17/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	33										4				
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	34										4				
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	35														
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	36														
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	37														
5	5	8	8	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	38														
5	5	9	9	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	39														
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	40										5				
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	41										5				
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	42														
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	43														
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	44														
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	45														
6	6	10	10	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	46														
6	6	11	11	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	47														
7	7	12	12	0.0	0	0	Dynamic	2/4	2	1	0					p												
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	48			articStaccatoBelow											
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	49			articStaccatoBelow											
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	50			ornamentTrill											
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	51														
7	7	12	12	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	52														
7	7	13	13	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	53														
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	54														
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	55														
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	56			ornamentTrill											
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	57														
8	8	14	14	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	58														
8	8	15	15	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	59														
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	60										6				
9	9	33/2	33/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	61			articAccentAbove											
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	62														
9	9	16	16	0.0	0	0	Dynamic	2/4	3	1	0					p												
9	9	16	16	0.0	0	0	Spanner	2/4	3	1	0																	1
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	63														1
9	9	35/2	35/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																	
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	64														
9	9	16	16	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	65														
9	9	17	17	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	66														
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	67														
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	68														
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	69										7				
10	10	18	18	0.0	0	0	Spanner	2/4	3	1	0														0			
10	10	37/2	37/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					p									0			
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	70											0			
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	3	1	0																	
10	10	39/2	39/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																	2
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	71														2
10	10	18	18	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	72														2
10	10	19	19	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	73														2
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	74			articStaccatoAbove											
11	11	41/2	41/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	75			articStaccatoAbove											
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	76														
11	11	20	20	0.0	0	0	Dynamic	2/4	3	1	0					f												
11	11	20	20	0.0	0	0	Spanner	2/4	3	1	0																	
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	77														
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	78														
11	11	20	20	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	79														
11	11	21	21	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	80														
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	81			articStaccatoAbove											
12	12	45/2	45/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	82														
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	83										8				
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	84														
12	12	23	23	0.0	1/4	1/4	Dynamic	2/4	3	1	0					pp												
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	85														
12	12	22	22	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	86														
12	12	23	23	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	87														
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	88			articStaccatoAbove											
13	13	49/2	49/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	89														
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	90														
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	91														
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	92														
13	13	24	24	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	93														
13	13	25	25	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	94														
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	95										9				
14	14	53/2	53/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	96														
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	97														
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	98														
14	14	55/2	55/2	0.0	3/8	3/8	Dynamic	2/4	3	1	0					p												
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	99														
14	14	26	26	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	100														
14	14	27	27	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	101														
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	102										10				
15	15	57/2	57/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	103														
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	104														
15	15	28	28	0.0	0	0	Spanner	2/4	3	1	0															0		
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	105												0		
15	15	59/2	59/2	0.0	3/8	3/8	Spanner	2/4	3	1	0															0		3
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	106												0		3
15	15	28	28	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	107												0		3
15	15	29	29	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	108												0		3
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	109										11				
16	16	61/2	61/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	110														
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	111														
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	112												0		3
16	16	63/2	63/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																	
16	16	63/2	63/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																	
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	113														
16	16	30	30	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	114														
16	16	31	31	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	115														
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	116														
17	17	65/2	65/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	117			articAccentAbove											
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	118														
17	17	65/2	65/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					f												
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	119														
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	120														
