mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
17	17	32	32	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	121														
17	17	33	33	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	122														
18	18	34	34	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	123										12				
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	124										12				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	125										12				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	126														
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	127														
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	128														
18	18	34	34	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	129										13				
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	130														
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	131														
18	18	34	34	0.0	0	0	Spanner	2/4	3	1	0																	4
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	132														4
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	3	1	0																	
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	133														
18	18	34	34	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	134														
18	18	35	35	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	135														
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	136										14				
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	137														
19	19	36	36	0.0	0	0	Spanner	2/4	3	1	0														1			
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	138											1			
19	19	75/2	75/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																	
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	139														
19	19	36	36	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	140														
19	19	37	37	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	141														
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	142														
20	20	77/2	77/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	143			articAccentAbove											
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	144			articAccentAbove											
20	20	77/2	77/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					f												
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	145														
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	146														
20	20	38	38	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	147														
20	20	39	39	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	148														
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	149														
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	150										15				
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	151										15				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	152										15				
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	153										15				
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	154														
21	21	40	40	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	155														
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	156														
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	157														
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	158														
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	159										16				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	160										16				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	161														
21	21	40	40	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	162														
21	21	41	41	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	163														
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	164														
22	22	85/2	85/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	165														
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	166														
22	22	85/2	85/2	0.0	1/8	1/8	Dynamic	2/4	3	1	0					p												
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	167														
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	168														
22	22	42	42	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	169														
22	22	43	43	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	170														
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	171														
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	172										17				
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	173										17				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	174										17				
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	175										17				
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	176														
23	23	44	44	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	177														
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	178														
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	179														
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	180														
23	23	44	44	0.0	0	0	Spanner	2/4	3	1	0																0	
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	181										18			0	
23	23	45	45	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	182										18			0	
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	183													0	
23	23	44	44	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	184													0	
23	23	45	45	1.0	1/4	1/4	Chord	2/4	3	2	1/4	1/4	1	185													0	
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	186														
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	187														
24	24	47	47	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	188														
24	24	46	46	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	189													0	
24	24	47	47	0.0	1/4	1/4	Spanner	2/4	3	1	0																	
24	24	46	46	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	190														
25	25	48	48	0.0	0	0	Dynamic	2/4	1	1	0					p												
25	25	48	48	0.0	0	0	StaffText	2/4	1	1	0							<i>Alto solo</i>										
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	191	Quae													
25	25	97/2	97/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	192	mœ-									19				
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	193										19				
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	194														
25	25	48	48	0.0	0	0	Dynamic	2/4	2	1	0					p												
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	195														
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	196														
25	25	48	48	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	197														
25	25	49	49	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	198														
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	199	-re-		articStaccatissimoAbove											
26	26	101/2	101/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	200	-bat									20				
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	201										20				
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	202														
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	203														
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	204														
26	26	50	50	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	205														
26	26	51	51	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	206														
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	207	et		articStaccatissimoAbove											
27	27	105/2	105/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	208	do-									21				
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	209										21				
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	210														
27	27	105/2	105/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	211														
27	27	52	52	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	212														
27	27	53	53	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	213														
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	214	-le-		articStaccatissimoAbove											
28	28	109/2	109/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	215	-bat,									22				
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	216										22				
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	217														
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	218														
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	219														
28	28	54	54	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	220														
28	28	55	55	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	221														
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	222	et													
29	29	113/2	113/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	223	do-									23				
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	224										23				
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	225														
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	226														
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	227														
29	29	56	56	0.0	0	0	Dynamic	2/4	3	1	0					pp												
29	29	56	56	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	228										24				
29	29	57	57	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	229										24				
30	30	58	58	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	230	-le-													
30	30	233/4	233/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	231														
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	232	-bat													
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	233														
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	234														
30	30	58	58	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	235														
30	30	59	59	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	236														
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	237	et		articStaccatissimoAbove											
31	31	121/2	121/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8	1/4	3/2	238	tre-		ornamentTrill											
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	239														
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	240														
31	31	60	60	0.0	0	0	Dynamic	2/4	3	1	0					p												
31	31	60	60	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	241														
31	31	61	61	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	242														
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	243	-me-		articStaccatissimoAbove											
32	32	125/2	125/2	1.5	1/8	1/8	Chord	2/4	1	1	3/8	1/4	3/2	244	-bat		ornamentTrill											
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	245														
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	246														
32	32	62	62	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	247														
32	32	63	63	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	248														
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	249	cum									25				
33	33	129/2	129/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	250														
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	251	vi-													
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	252														
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	253														
33	33	65	65	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	254										26				
