mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									Grave	45.0			1.0				
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	0													
1	1	0	0	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	1										0			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	2										0			
1	1	0	0	0.0	0	0	Dynamic	4/4	4	1	0						p											
1	1	2	2	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	3										1			
1	1	0	0	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	4			articStaccatoBelow							2			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	5			articStaccatoBelow							2			
1	1	1	1	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	6			articStaccatoBelow							2			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	7			articStaccatoBelow							2			
1	1	2	2	0.5	1/2	1/2	Chord	4/4	4	2	1/8		1/8	1	8			articStaccatoBelow							2			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8		1/8	1	9			articStaccatoBelow							2			
1	1	3	3	0.5	3/4	3/4	Chord	4/4	4	2	1/8		1/8	1	10			articStaccatoBelow							2			
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8		1/8	1	11			articStaccatoBelow										
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	12													
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	13													
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	14													
2	2	4	4	3.0	0	0	Chord	4/4	3	2	3/4		1/2	3/2	15										0			
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	16										0			
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	17										1			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	18										1			
2	2	4	4	0.0	0	0	StaffText	4/4	4	2	0								simile									
2	2	4	4	0.5	0	0	Chord	4/4	4	2	1/8		1/8	1	19			articStaccatoBelow										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	20			articStaccatoBelow										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	21			articStaccatoBelow										
