mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	HairPin:3_smorz.	decrescendo_hairpin
2	2	25/4	25/4	0.25	9/16	9/16	Chord	4/4	2	2	1/16		1/16	1	37										9				
2	2	13/2	13/2	1.5	5/8	5/8	Chord	4/4	2	2	3/8		1/4	3/2	38														
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	39														
2	2	4	4	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	40														
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	41														
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	42														
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	43														
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	44														
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	45														
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	46														
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	47														
3	3	33/4	33/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	48										10				
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	49										10				
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	50										10				
3	3	9	9	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	51										10				
3	3	37/4	37/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	52										10				
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	53										10				
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	54														
3	3	10	10	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	55			articStaccatissimoAbove											
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	56										11				
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	57										11				
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	58														
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	59										12				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	60														
3	3	8	8	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	61														
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	62														
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	63														
3	3	33/4	33/4	0.0	1/16	1/16	Dynamic	4/4	3	1	0						other-dynamics												
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	64														
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	65														
4	4	12	12	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	66														
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	67														
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	68										13				
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	69										13				
4	4	13	13	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	70										13				
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	71										13				
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	72														
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	73														
4	4	14	14	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	74														
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	75										14				
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	76										14				
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	77														
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	78										15				
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	79														
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	80														
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	81														
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	82														
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	83														
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	84														
4	4	12	12	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	85														
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	86														
5	5	16	16	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	87														
