mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
10	10	77/2	77/2	0.0	5/8	5/8	Spanner	4/4	4	1	0																		
10	10	77/2	77/2	0.0	5/8	5/8	Spanner	4/4	4	1	0															1			
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	210											1			
10	10	39	39	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	211											1			
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	212											1			
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8		1/8	1	213											1			
10	10	37	37	0.5	1/4	1/4	Chord	4/4	4	2	1/8		1/8	1	214											1			
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8		1/8	1	215											1			
11	11	40	40	0.0	0	0	StaffText	4/4	1	1	0								Sop. solo										
11	11	42	42	0.0	1/2	1/2	StaffText	4/4	1	1	0								espr.										
11	11	42	42	0.0	1/2	1/2	Dynamic	4/4	1	1	0						mp												
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	216	San-													
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	217														
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	218														
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	219														
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	220														
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	221														
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	222														
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	223														
11	11	40	40	0.0	0	0	Spanner	4/4	4	1	0																		
11	11	40	40	1.0	0	0	Chord	4/4	4	1	1/4		1/4	1	224														
11	11	42	42	0.0	1/2	1/2	Dynamic	4/4	4	1	0						p												
11	11	42	42	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	225														
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	226														
11	11	43	43	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	227														
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	228														
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	229	-cta													
12	12	46	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	230	ma-									33				
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	231														
12	12	93/2	93/2	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	232														
12	12	93/2	93/2	1.5	5/8	5/8	Chord	4/4	1	1	3/8		1/4	3/2	233	-ter,													
12	12	44	44	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	234														
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	235														
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	236														
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	237														
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	238														
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	239														
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	240														
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	241														
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	242														
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	243														
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	244														
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	245														
12	12	44	44	0.5	0	0	Chord	4/4	4	1	1/8		1/8	1	246														
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8		1/8	1	247														
12	12	45	45	0.5	1/4	1/4	Chord	4/4	4	1	1/8		1/8	1	248														
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8		1/8	1	249														
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	1	1/8		1/8	1	250														
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8		1/8	1	251														
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	1	1/8		1/8	1	252														
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8		1/8	1	253														
13	13	48	48	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	254	i-									34				
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	255										34				
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	256										34				
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	257										34				
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	258														
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	259	-stud									35				
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	260														
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	261	a-									36				
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	262										36				
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	263														
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	264	-gas,													
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	265														
