mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
5	5	16	16	0.0	0	0	Dynamic	4/4	4	1	0					p									
5	5	16	16	0.0	0	0	Spanner	4/4	4	1	0														
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	79			articStaccatoBelow								
5	5	17	17	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	80			articStaccatoBelow								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	81			articStaccatoBelow								
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	82			articStaccatoBelow								
5	5	19	19	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	83			articStaccatoBelow								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	84			articStaccatoBelow								
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	85	be-							6			
6	6	41/2	41/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	86											
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	87	-ne-										
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	88	-di-										
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	89	-cta										
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	90	be-										
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	91	-ne-										
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	92	-di-										
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	93	-cta										
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	94											
6	6	41/2	41/2	1.0	1/8	1/8	Chord	4/4	3	1	1/4	1/4	1	95								7			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	96											
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	97											
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	98								8			
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	99								8			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	100											
6	6	41/2	41/2	1.5	1/8	1/8	Chord	4/4	3	2	3/8	1/4	3/2	101											
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	102											
6	6	21	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	103			articStaccatoAbove								
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	104			articStaccatoAbove								
6	6	22	22	0.0	1/2	1/2	Spanner	4/4	4	1	0														8
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	105											8
7	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0					other-dynamics									
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	106	ma-										
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	107	-ter										
7	7	24	24	0.0	0	0	Dynamic	4/4	2	1	0					other-dynamics									
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	108	ma-										
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	109	-ter										
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	110											
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	111											
7	7	24	24	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	112								9			
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	113											
7	7	24	24	0.0	0	0	Dynamic	4/4	4	1	0					other-dynamics									
7	7	24	24	0.0	0	0	Spanner	4/4	4	1	0														
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	114											
7	7	25	25	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	115			articStaccatoBelow								
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	116			articStaccatoBelow								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	117											
7	7	27	27	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	118			articStaccatoBelow								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	119			articStaccatoBelow								
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					mf									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	120	u-							10			
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	121											
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	122	-ni-										
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	123	-ge-							11			
8	8	31	31	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	124											
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	125	-ni-										
8	8	28	28	0.0	0	0	Dynamic	4/4	2	1	0					mf									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	126	u-							12			
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	127											
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	128	-ni-										
8	8	30	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	129	-ge-							13			
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	130								13			
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	131											
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	132	-ni-										
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	133								14			
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	134								14			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	135											
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	136								15			
8	8	31	31	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	137											
8	8	28	28	0.0	0	0	Dynamic	4/4	4	1	0					mf									
8	8	28	28	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	138											
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	139								16			
8	8	31	31	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	140								16			
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	141											
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	142	-ti,										
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p									
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	143	ma-										
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	144	-ti,										
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	2	1	0					p									
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	145	ma-										
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	146								17			
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	147								17			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	148											
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	149											
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	150								18			
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	151											
9	9	32	32	0.0	0	0	Spanner	4/4	4	1	0														9
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	152											9
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	4	1	0					p									
9	9	34	34	0.0	1/2	1/2	Spanner	4/4	4	1	0														
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	153			articStaccatoBelow								
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	154			articStaccatoBelow								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	155											
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	156	-ter										
10	10	38	38	0.0	1/2	1/2	Dynamic	4/4	1	1	0					f									
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	157	u-							19			
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	158											
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	159	-ni-										
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	160	-ter										
10	10	38	38	0.0	1/2	1/2	Dynamic	4/4	2	1	0					f									
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	161	u-							20			
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	162											
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	163	-ni-										
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	164											
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	165								21			
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	166								21			
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	167											
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	168											
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	169											
10	10	37	37	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	170			articStaccatoBelow								
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	171											
10	10	38	38	0.0	1/2	1/2	Dynamic	4/4	4	1	0					f									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	172											
11	11	40	40	0.125	0	0	Chord	4/4	1	1	1/32	1/32	1	173	-ge-							22			
11	11	321/8	321/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32	1/32	1	174								22			
11	11	161/4	161/4	0.75	1/16	1/16	Chord	4/4	1	1	3/16	1/8	3/2	175											
11	11	41	41	0.0	1/4	1/4	Spanner	4/4	1	1	0														10
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	176	-ni-		ornamentTrill								10
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	1	1	0														
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	177	-ti!										
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	178	-ge-							23			
11	11	41	41	0.0	1/4	1/4	Spanner	4/4	2	1	0														11
11	11	41	41	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	179											11
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	180	-ni-										11
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	2	1	0														
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	181	-ti!										
11	11	40	40	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	182								24			
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	183											
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	184											
11	11	85/2	85/2	0.0	5/8	5/8	Dynamic	4/4	3	1	0					f									
11	11	85/2	85/2	1.0	5/8	5/8	Chord	4/4	3	1	1/4	1/4	1	185											
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	186								25			
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	187											
11	11	81/2	81/2	0.0	1/8	1/8	Spanner	4/4	4	1	0														12
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	188								26			12
11	11	41	41	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	189								26			12
11	11	83/2	83/2	0.0	3/8	3/8	Spanner	4/4	4	1	0														
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	190											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	191											
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	192											
12	12	44	44	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	193								25			
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	194								25			
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	195											
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	196								27			
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	197											
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	198											
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	199											
12	12	47	47	0.125	3/4	3/4	Chord	4/4	3	1	1/32	1/32	1	200								28			
12	12	377/8	377/8	0.375	25/32	25/32	Chord	4/4	3	1	3/32	1/16	3/2	201											
12	12	95/2	95/2	0.125	7/8	7/8	Chord	4/4	3	1	1/32	1/32	1	202								29			
12	12	381/8	381/8	0.375	29/32	29/32	Chord	4/4	3	1	3/32	1/16	3/2	203											
12	12	44	44	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	204											
12	12	46	46	0.75	1/2	1/2	Chord	4/4	3	2	3/16	1/8	3/2	205											
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	3	2	1/16	1/16	1	206											
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	207											
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	208											
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	209											
12	12	45	45	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	210											
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	211											
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	212											
12	12	47	47	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	213											
12	12	44	44	1.5	0	0	Chord	4/4	4	2	3/8	1/4	3/2	214								30			
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	215								30			
12	12	46	46	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	216								30			
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	217								30			
12	12	47	47	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	218								30			
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	219											
13	13	48	48	0.75	0	0	Chord	4/4	3	1	3/16	1/8	3/2	220			ornamentTrill					31			
13	13	195/4	195/4	0.125	3/16	3/16	Chord	4/4	3	1	1/32	1/32	1	221								31			
13	13	391/8	391/8	0.125	7/32	7/32	Chord	4/4	3	1	1/32	1/32	1	222											
13	13	49	49	0.75	1/4	1/4	Chord	4/4	3	1	3/16	1/8	3/2	223			ornamentTrill					32			
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	224											
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	225											
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	226											
13	13	48	48	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	227											
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	228											
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	229								33			
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	230											
13	13	50	50	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	231											
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	232											
