mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	4/4	3	1	1/8		1/8	1		1	43	G2	2	10
1	1	0	0	0.5	0	0	4/4	3	1	1/8		1/8	1		1	55	G3	3	10
1	1	0	0	0.5	0	0	4/4	2	1	1/8		1/8	1		1	67	G4	4	0
1	1	0	0	0.5	0	0	4/4	2	1	1/8		1/8	1		1	79	G5	5	0
1	1	1/2	1/2	0.375	1/8	1/8	4/4	3	1	3/32		1/16	3/2		1	43	G2	2	11
1	1	1/2	1/2	0.375	1/8	1/8	4/4	3	1	3/32		1/16	3/2		1	55	G3	3	11
1	1	1/2	1/2	0.375	1/8	1/8	4/4	2	1	3/32		1/16	3/2		1	67	G4	4	1
1	1	7/8	7/8	0.125	7/32	7/32	4/4	3	1	1/32		1/32	1		1	43	G2	2	12
1	1	7/8	7/8	0.125	7/32	7/32	4/4	3	1	1/32		1/32	1		1	55	G3	3	12
1	1	7/8	7/8	0.125	7/32	7/32	4/4	2	1	1/32		1/32	1		1	67	G4	4	2
1	1	1	1	0.375	1/4	1/4	4/4	3	1	3/32		1/16	3/2		1	43	G2	2	13
1	1	1	1	0.375	1/4	1/4	4/4	3	1	3/32		1/16	3/2		1	55	G3	3	13
1	1	1	1	0.375	1/4	1/4	4/4	2	1	3/32		1/16	3/2		1	67	G4	4	3
1	1	11/8	11/8	0.125	11/32	11/32	4/4	3	1	1/32		1/32	1		-2	46	Bb2	2	14
1	1	11/8	11/8	0.125	11/32	11/32	4/4	3	1	1/32		1/32	1		-2	58	Bb3	3	14
1	1	11/8	11/8	0.125	11/32	11/32	4/4	2	1	1/32		1/32	1		-2	70	Bb4	4	4
1	1	3/2	3/2	0.375	3/8	3/8	4/4	3	1	3/32		1/16	3/2		3	45	A2	2	15
1	1	3/2	3/2	0.375	3/8	3/8	4/4	3	1	3/32		1/16	3/2		3	57	A3	3	15
1	1	3/2	3/2	0.375	3/8	3/8	4/4	2	1	3/32		1/16	3/2		3	69	A4	4	5
1	1	15/8	15/8	0.125	15/32	15/32	4/4	3	1	1/32		1/32	1		1	43	G2	2	16
1	1	15/8	15/8	0.125	15/32	15/32	4/4	3	1	1/32		1/32	1		1	55	G3	3	16
1	1	15/8	15/8	0.125	15/32	15/32	4/4	2	1	1/32		1/32	1		1	67	G4	4	6
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		6	42	F#2	2	17
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		6	54	F#3	3	17
1	1	2	2	0.375	1/2	1/2	4/4	2	1	3/32		1/16	3/2		6	66	F#4	4	7
1	1	19/8	19/8	0.125	19/32	19/32	4/4	2	1	1/32		1/32	1		7	73	C#5	5	8
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		2	50	D3	3	18
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		2	62	D4	4	18
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		2	74	D5	5	9
2	2	4	4	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	41	F2	2	30
2	2	4	4	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	53	F3	3	30
2	2	4	4	0.5	0	0	4/4	2	1	1/8		1/8	1		-1	65	F4	4	19
2	2	4	4	0.5	0	0	4/4	2	1	1/8		1/8	1		-1	77	F5	5	19
2	2	9/2	9/2	0.375	1/8	1/8	4/4	3	1	3/32		1/16	3/2		-1	41	F2	2	31
2	2	9/2	9/2	0.375	1/8	1/8	4/4	3	1	3/32		1/16	3/2		-1	53	F3	3	31
2	2	9/2	9/2	0.25	1/8	1/8	4/4	2	1	1/16		1/16	1		-1	65	F4	4	20
2	2	19/4	19/4	0.25	3/16	3/16	4/4	2	1	1/16		1/16	1		-1	65	F4	4	21
2	2	39/8	39/8	0.125	7/32	7/32	4/4	3	1	1/32		1/32	1		-1	41	F2	2	32
2	2	39/8	39/8	0.125	7/32	7/32	4/4	3	1	1/32		1/32	1		-1	53	F3	3	32
2	2	5	5	0.375	1/4	1/4	4/4	3	1	3/32		1/16	3/2		-1	41	F2	2	33
2	2	5	5	0.375	1/4	1/4	4/4	3	1	3/32		1/16	3/2		-1	53	F3	3	33
2	2	5	5	0.375	1/4	1/4	4/4	2	1	3/32		1/16	3/2		-1	65	F4	4	22
2	2	43/8	43/8	0.125	11/32	11/32	4/4	3	1	1/32		1/32	1		-4	44	Ab2	2	34
2	2	43/8	43/8	0.125	11/32	11/32	4/4	3	1	1/32		1/32	1		-4	56	Ab3	3	34
2	2	43/8	43/8	0.125	11/32	11/32	4/4	2	1	1/32		1/32	1		-4	68	Ab4	4	23
2	2	11/2	11/2	0.375	3/8	3/8	4/4	3	1	3/32		1/16	3/2		1	43	G2	2	35
2	2	11/2	11/2	0.375	3/8	3/8	4/4	3	1	3/32		1/16	3/2		1	55	G3	3	35
2	2	11/2	11/2	0.375	3/8	3/8	4/4	2	1	3/32		1/16	3/2		1	67	G4	4	24
2	2	47/8	47/8	0.125	15/32	15/32	4/4	3	1	1/32		1/32	1		-1	41	F2	2	36
2	2	47/8	47/8	0.125	15/32	15/32	4/4	3	1	1/32		1/32	1		-1	53	F3	3	36
2	2	47/8	47/8	0.125	15/32	15/32	4/4	2	1	1/32		1/32	1		-1	65	F4	4	25
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		4	40	E2	2	37
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		4	52	E3	3	37
2	2	6	6	0.25	1/2	1/2	4/4	2	1	1/16		1/16	1		4	64	E4	4	26
2	2	25/4	25/4	0.25	9/16	9/16	4/4	2	1	1/16		1/16	1		5	71	B4	4	27
2	2	13/2	13/2	0.0	5/8	5/8	4/4	2	1	0	appoggiatura	1/8	1		5	71	B4	4	28
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		0	48	C3	3	38
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		0	60	C4	4	38
2	2	13/2	13/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		0	72	C5	5	29
3	3	8	8	0.5	0	0	4/4	3	1	1/8		1/8	1		-3	39	Eb2	2	52
