mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	4/4	4	1	1/8		1/8	1		0	48	C3	3	14
1	1	0	0	0.5	0	0	4/4	3	1	1/8		1/8	1		1	67	G4	4	6
1	1	0	0	0.5	0	0	4/4	3	1	1/8		1/8	1		0	72	C5	5	6
1	1	0	0	1.5	0	0	4/4	1	1	3/8		1/4	3/2		0	72	C5	5	0
1	1	0	0	0.5	0	0	4/4	3	1	1/8		1/8	1		-3	75	Eb5	5	6
1	1	1/2	1/2	0.5	1/8	1/8	4/4	4	1	1/8		1/8	1		0	60	C4	4	15
1	1	1/2	1/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		1	67	G4	4	7
1	1	1/2	1/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	7
1	1	1/2	1/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		-3	75	Eb5	5	7
1	1	1	1	0.5	1/4	1/4	4/4	4	1	1/8		1/8	1		0	60	C4	4	16
1	1	1	1	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		1	67	G4	4	8
1	1	1	1	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		0	72	C5	5	8
1	1	1	1	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		-3	75	Eb5	5	8
1	1	3/2	3/2	0.5	3/8	3/8	4/4	4	1	1/8		1/8	1		0	60	C4	4	17
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		1	67	G4	4	9
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	9
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		-3	75	Eb5	5	1
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		-3	75	Eb5	5	9
1	1	2	2	0.5	1/2	1/2	4/4	4	1	1/8		1/8	1		0	60	C4	4	18
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		-1	65	F4	4	10
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	10
1	1	2	2	0.25	1/2	1/2	4/4	1	1	1/16		1/16	1		2	74	D5	5	2
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		2	74	D5	5	10
1	1	9/4	9/4	0.25	9/16	9/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	3
1	1	5/2	5/2	0.0	5/8	5/8	4/4	1	1	0	appoggiatura	1/8	1		0	72	C5	5	4
1	1	5/2	5/2	0.5	5/8	5/8	4/4	4	1	1/8		1/8	1		5	59	B3	3	19
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		-1	65	F4	4	11
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	11
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		2	74	D5	5	11
1	1	5/2	5/2	1.0	5/8	5/8	4/4	1	1	1/4		1/4	1		2	74	D5	5	5
1	1	3	3	0.5	3/4	3/4	4/4	4	1	1/8		1/8	1		5	59	B3	3	20
1	1	3	3	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		-1	65	F4	4	12
1	1	3	3	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	12
1	1	3	3	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		2	74	D5	5	12
1	1	7/2	7/2	0.5	7/8	7/8	4/4	4	1	1/8		1/8	1		5	59	B3	3	21
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		6	66	F#4	4	13
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		2	74	D5	5	13
2	2	4	4	0.5	0	0	4/4	4	1	1/8		1/8	1		-2	58	Bb3	3	35
2	2	4	4	0.5	0	0	4/4	3	1	1/8		1/8	1		2	62	D4	4	27
2	2	4	4	0.5	0	0	4/4	3	1	1/8		1/8	1		1	67	G4	4	27
2	2	4	4	0.5	0	0	4/4	3	1	1/8		1/8	1		2	74	D5	5	27
2	2	4	4	1.0	0	0	4/4	1	1	1/4		1/4	1		2	74	D5	5	22
2	2	9/2	9/2	0.5	1/8	1/8	4/4	4	1	1/8		1/8	1		-2	58	Bb3	3	36
2	2	9/2	9/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		2	62	D4	4	28
2	2	9/2	9/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		1	67	G4	4	28
2	2	9/2	9/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		2	74	D5	5	28
2	2	5	5	0.5	1/4	1/4	4/4	4	1	1/8		1/8	1		-2	58	Bb3	3	37
2	2	5	5	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		2	62	D4	4	29
2	2	5	5	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		1	67	G4	4	29
2	2	5	5	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		2	74	D5	5	29
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		1	79	G5	5	23
2	2	11/2	11/2	0.5	3/8	3/8	4/4	4	1	1/8		1/8	1		-2	58	Bb3	3	38
2	2	11/2	11/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		2	62	D4	4	30
2	2	11/2	11/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		1	67	G4	4	30
2	2	11/2	11/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		2	74	D5	5	30
2	2	6	6	0.5	1/2	1/2	4/4	4	1	1/8		1/8	1		-2	58	Bb3	3	39
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		1	67	G4	4	31
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		0	72	C5	5	31
2	2	6	6	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		4	76	E5	5	24
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		4	76	E5	5	31
2	2	13/2	13/2	0.0	5/8	5/8	4/4	1	1	0	appoggiatura	1/8	1		4	76	E5	5	25
2	2	13/2	13/2	0.5	5/8	5/8	4/4	4	1	1/8		1/8	1		3	57	A3	3	40
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		-1	65	F4	4	32
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	32
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		-1	77	F5	5	32
2	2	13/2	13/2	1.5	5/8	5/8	4/4	1	1	3/8		1/4	3/2		-1	77	F5	5	26
2	2	7	7	0.5	3/4	3/4	4/4	4	1	1/8		1/8	1		3	57	A3	3	41
2	2	7	7	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		-1	65	F4	4	33
2	2	7	7	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		0	72	C5	5	33
2	2	7	7	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		-1	77	F5	5	33
2	2	15/2	15/2	0.5	7/8	7/8	4/4	4	1	1/8		1/8	1		3	57	A3	3	42
2	2	15/2	15/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		-1	65	F4	4	34
2	2	15/2	15/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	34
2	2	15/2	15/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		-1	77	F5	5	34
3	3	8	8	0.5	0	0	4/4	4	1	1/8		1/8	1		-4	56	Ab3	3	56
3	3	8	8	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	65	F4	4	48
3	3	8	8	0.5	0	0	4/4	3	1	1/8		1/8	1		0	72	C5	5	48
3	3	8	8	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	77	F5	5	48
3	3	8	8	1.5	0	0	4/4	1	1	3/8		1/4	3/2		-1	77	F5	5	43
3	3	17/2	17/2	0.5	1/8	1/8	4/4	4	1	1/8		1/8	1		-4	56	Ab3	3	57
3	3	17/2	17/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		-1	65	F4	4	49
3	3	17/2	17/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	49
3	3	17/2	17/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		-1	77	F5	5	49
3	3	9	9	0.5	1/4	1/4	4/4	4	1	1/8		1/8	1		-1	53	F3	3	58
3	3	9	9	0.5	1/4	1/4	4/4	4	1	1/8		1/8	1		0	60	C4	4	58
3	3	9	9	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	50
3	3	9	9	0.5	1/4	1/4	4/4	3	1	1/8		1/8	1		-1	77	F5	5	50
3	3	19/2	19/2	0.5	3/8	3/8	4/4	4	1	1/8		1/8	1		-1	53	F3	3	59
3	3	19/2	19/2	0.5	3/8	3/8	4/4	4	1	1/8		1/8	1		0	60	C4	4	59
3	3	19/2	19/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	51
3	3	19/2	19/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		-1	77	F5	5	51
3	3	19/2	19/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		-4	80	Ab5	5	44
3	3	10	10	0.0	1/2	1/2	4/4	1	1	0	appoggiatura	1/8	1		0	72	C5	5	45
3	3	10	10	0.5	1/2	1/2	4/4	4	1	1/8		1/8	1		-1	53	F3	3	60
3	3	10	10	0.5	1/2	1/2	4/4	4	1	1/8		1/8	1		2	62	D4	4	60
3	3	10	10	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	52
3	3	10	10	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		5	71	B4	4	52
3	3	10	10	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	46
3	3	10	10	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		2	74	D5	5	52
3	3	21/2	21/2	0.5	5/8	5/8	4/4	4	1	1/8		1/8	1		-1	53	F3	3	61
3	3	21/2	21/2	0.5	5/8	5/8	4/4	4	1	1/8		1/8	1		2	62	D4	4	61
3	3	21/2	21/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	53
3	3	21/2	21/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		5	71	B4	4	53
3	3	21/2	21/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		2	74	D5	5	53
3	3	11	11	0.5	3/4	3/4	4/4	4	1	1/8		1/8	1		-3	51	Eb3	3	62
3	3	11	11	0.5	3/4	3/4	4/4	4	1	1/8		1/8	1		-3	63	Eb4	4	62
3	3	11	11	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		1	67	G4	4	54
3	3	11	11	0.5	3/4	3/4	4/4	3	1	1/8		1/8	1		5	71	B4	4	54
3	3	23/2	23/2	0.5	7/8	7/8	4/4	4	1	1/8		1/8	1		-3	51	Eb3	3	63
3	3	23/2	23/2	0.5	7/8	7/8	4/4	4	1	1/8		1/8	1		-3	63	Eb4	4	63
3	3	23/2	23/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		1	67	G4	4	55
3	3	23/2	23/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	C5	5	47
3	3	23/2	23/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	55
4	4	12	12	0.5	0	0	4/4	3	1	1/8		1/8	1		-4	68	Ab4	4	69
4	4	12	12	0.5	0	0	4/4	3	1	1/8		1/8	1		2	74	D5	5	69
4	4	12	12	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	77	F5	5	69
