mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	3/8	2	2	1/8		1/8	1		1	79	G5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	3/8	2	2	1/8		1/8	1		-3	75	Eb5	5	1
1	1	1	1	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		2	74	D5	5	2
2	2	3/2	3/2	0.5	0	0	3/8	3	2	1/8		1/8	1		0	60	C4	4	7
2	2	3/2	3/2	1.5	0	0	3/8	3	1	3/8		1/4	3/2		-3	63	Eb4	4	6
2	2	3/2	3/2	0.25	0	0	3/8	2	2	1/16		1/16	1		0	72	C5	5	3
2	2	7/4	7/4	0.25	1/16	1/16	3/8	2	2	1/16		1/16	1		5	71	B4	4	4
2	2	2	2	0.5	1/8	1/8	3/8	3	2	1/8		1/8	1		-4	56	Ab3	3	8
2	2	2	2	1.0	1/8	1/8	3/8	2	2	1/4		1/4	1		0	72	C5	5	5
2	2	5/2	5/2	0.5	1/4	1/4	3/8	3	2	1/8		1/8	1		1	55	G3	3	9
3	3	3	3	0.5	0	0	3/8	3	1	1/8		1/8	1		-1	53	F3	3	14
3	3	3	3	0.5	0	0	3/8	3	1	1/8		1/8	1		-4	56	Ab3	3	14
3	3	3	3	0.5	0	0	3/8	3	1	1/8		1/8	1		2	62	D4	4	14
3	3	3	3	0.25	0	0	3/8	2	2	1/16		1/16	1		2	74	D5	5	10
3	3	13/4	13/4	0.25	1/16	1/16	3/8	2	2	1/16		1/16	1		-1	77	F5	5	11
3	3	7/2	7/2	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		1	55	G3	3	15
3	3	7/2	7/2	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		0	60	C4	4	15
3	3	7/2	7/2	0.5	1/8	1/8	3/8	2	2	1/8		1/8	1		-3	75	Eb5	5	12
3	3	4	4	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		-1	53	F3	3	16
3	3	4	4	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		5	59	B3	3	16
3	3	4	4	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		1	67	G4	4	13
3	3	4	4	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		2	74	D5	5	13
4	4	9/2	9/2	0.5	0	0	3/8	3	2	1/8		1/8	1		-3	51	Eb3	3	24
4	4	9/2	9/2	1.5	0	0	3/8	3	1	3/8		1/4	3/2		0	60	C4	4	23
4	4	9/2	9/2	0.5	0	0	3/8	2	2	1/8		1/8	1		1	67	G4	4	21
4	4	9/2	9/2	0.25	0	0	3/8	2	1	1/16		1/16	1		1	79	G5	5	17
4	4	19/4	19/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-3	75	Eb5	5	18
4	4	5	5	0.5	1/8	1/8	3/8	3	2	1/8		1/8	1		-4	56	Ab3	3	25
4	4	5	5	1.0	1/8	1/8	3/8	2	2	1/4		1/4	1		-3	63	Eb4	4	22
4	4	5	5	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	74	D5	5	19
4	4	11/2	11/2	0.5	1/4	1/4	3/8	3	2	1/8		1/8	1		1	55	G3	3	26
4	4	11/2	11/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	72	C5	5	20
5	5	6	6	0.5	0	0	3/8	3	1	1/8		1/8	1		-1	53	F3	3	34
5	5	6	6	0.5	0	0	3/8	3	1	1/8		1/8	1		2	62	D4	4	34
5	5	6	6	0.5	0	0	3/8	2	2	1/8		1/8	1		-4	68	Ab4	4	31
5	5	6	6	0.25	0	0	3/8	2	1	1/16		1/16	1		2	74	D5	5	27
5	5	25/4	25/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-1	77	F5	5	28
5	5	13/2	13/2	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		1	55	G3	3	35
5	5	13/2	13/2	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		0	60	C4	4	35
5	5	13/2	13/2	0.5	1/8	1/8	3/8	2	2	1/8		1/8	1		1	67	G4	4	32
5	5	13/2	13/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	75	Eb5	5	29
5	5	7	7	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		-1	53	F3	3	36
5	5	7	7	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		5	59	B3	3	36
5	5	7	7	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		1	67	G4	4	33
5	5	7	7	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	74	D5	5	30
6	6	15/2	15/2	0.5	0	0	3/8	3	2	1/8		1/8	1		-3	51	Eb3	3	43
6	6	15/2	15/2	0.5	0	0	3/8	3	1	1/8		1/8	1		0	60	C4	4	40
6	6	15/2	15/2	0.5	0	0	3/8	2	1	1/8		1/8	1		1	67	G4	4	37
6	6	15/2	15/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	72	C5	5	37
6	6	8	8	0.5	1/8	1/8	3/8	3	2	1/8		1/8	1		2	50	D3	3	44
6	6	8	8	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		2	62	D4	4	41
6	6	8	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	65	F4	4	38
6	6	8	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-2	70	Bb4	4	38
6	6	17/2	17/2	0.5	1/4	1/4	3/8	3	2	1/8		1/8	1		0	48	C3	3	45
6	6	17/2	17/2	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		-3	63	Eb4	4	42
6	6	17/2	17/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1	1	-4	68	Ab4	4	39
7	7	9	9	1.0	0	0	3/8	3	1	1/4		1/4	1		2	50	D3	3	51
7	7	9	9	1.0	0	0	3/8	3	1	1/4		1/4	1		5	59	B3	3	51
7	7	9	9	1.0	0	0	3/8	2	2	1/4		1/4	1		-1	65	F4	4	49
7	7	9	9	0.5	0	0	3/8	2	1	1/8		1/8	1	-1	-4	68	Ab4	4	46
7	7	19/2	19/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	67	G4	4	47
7	7	10	10	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		0	48	C3	3	52
7	7	10	10	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		3	57	A3	3	52
7	7	10	10	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		-3	63	Eb4	4	50
7	7	10	10	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		6	66	F#4	4	48
8	8	21/2	21/2	0.5	0	0	3/8	3	1	1/8		1/8	1		5	47	B2	2	58
8	8	21/2	21/2	0.5	0	0	3/8	3	1	1/8		1/8	1		1	55	G3	3	58
8	8	21/2	21/2	0.5	0	0	3/8	2	2	1/8		1/8	1		2	62	D4	4	55
8	8	21/2	21/2	0.5	0	0	3/8	2	1	1/8		1/8	1		1	67	G4	4	53
8	8	11	11	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		3	45	A2	2	59
8	8	11	11	0.5	1/8	1/8	3/8	3	1	1/8		1/8	1		-1	53	F3	3	59
8	8	11	11	0.5	1/8	1/8	3/8	2	2	1/8		1/8	1		0	72	C5	5	56
8	8	11	11	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		-1	77	F5	5	54
8	8	23/2	23/2	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		1	43	G2	2	60
8	8	23/2	23/2	0.5	1/4	1/4	3/8	3	1	1/8		1/8	1		1	55	G3	3	60
8	8	23/2	23/2	0.5	1/4	1/4	3/8	2	2	1/8		1/8	1		5	71	B4	4	57
9	9	12	12	0.5	0	0	3/8	3	1	1/8		1/8	1		0	48	C3	3	69
9	9	12	12	0.5	0	0	3/8	3	1	1/8		1/8	1		1	55	G3	3	69
9	9	12	12	0.5	0	0	3/8	2	2	1/8		1/8	1		0	72	C5	5	66
9	9	12	12	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	75	Eb5	5	61
9	9	49/4	49/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		1	79	G5	5	62
