mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	6
1	1	0	0	0.5	0	0	2/4	2	1	1/8	1/8	1		-3	75	Eb5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	4
1	1	1/2	1/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	4
1	1	1/2	1/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		-3	75	Eb5	5	1
1	1	1	1	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	7
1	1	3/2	3/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	5
1	1	3/2	3/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	5
1	1	3/2	3/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		-1	77	F5	5	2
1	1	7/4	7/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		1	79	G5	5	3
2	2	2	2	1.0	0	0	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	14
2	2	2	2	0.5	0	0	2/4	2	1	1/8	1/8	1		-1	77	F5	5	8
2	2	5/2	5/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-4	56	Ab3	3	12
2	2	5/2	5/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		0	60	C4	4	12
2	2	5/2	5/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		-1	77	F5	5	9
2	2	3	3	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	15
2	2	7/2	7/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-4	56	Ab3	3	13
2	2	7/2	7/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		0	60	C4	4	13
2	2	7/2	7/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		1	79	G5	5	10
2	2	15/4	15/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		-1	77	F5	5	11
3	3	4	4	1.0	0	0	2/4	3	2	1/4	1/4	1		2	50	D3	3	22
3	3	4	4	0.5	0	0	2/4	2	1	1/8	1/8	1		0	84	C6	6	16
3	3	9/2	9/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-1	53	F3	3	20
3	3	9/2	9/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-4	56	Ab3	3	20
3	3	9/2	9/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		0	84	C6	6	17
3	3	5	5	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		-2	46	Bb2	2	23
3	3	11/2	11/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		2	50	D3	3	21
3	3	11/2	11/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-1	53	F3	3	21
3	3	11/2	11/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	21
3	3	11/2	11/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		-2	82	Bb5	5	18
3	3	23/4	23/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		-4	80	Ab5	5	19
4	4	6	6	1.0	0	0	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	30
4	4	6	6	0.5	0	0	2/4	2	1	1/8	1/8	1		1	79	G5	5	24
4	4	13/2	13/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	28
4	4	13/2	13/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	28
4	4	13/2	13/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		-1	77	F5	5	25
4	4	7	7	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	31
4	4	15/2	15/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	29
4	4	15/2	15/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	29
4	4	15/2	15/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		2	74	D5	5	26
4	4	31/4	31/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		-3	75	Eb5	5	27
5	5	8	8	1.0	0	0	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	38
5	5	8	8	0.5	0	0	2/4	2	1	1/8	1/8	1		0	84	C6	6	32
5	5	17/2	17/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-1	53	F3	3	36
5	5	17/2	17/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-4	56	Ab3	3	36
5	5	17/2	17/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		0	84	C6	6	33
5	5	9	9	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		2	50	D3	3	39
5	5	19/2	19/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-1	53	F3	3	37
5	5	19/2	19/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	37
5	5	19/2	19/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		-2	82	Bb5	5	34
5	5	39/4	39/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		-4	80	Ab5	5	35
6	6	10	10	1.0	0	0	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	46
6	6	10	10	0.25	0	0	2/4	2	1	1/16	1/16	1		1	79	G5	5	40
6	6	41/4	41/4	0.25	1/16	1/16	2/4	2	1	1/16	1/16	1		-1	77	F5	5	41
6	6	21/2	21/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	44
6	6	21/2	21/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		-2	58	Bb3	3	44
6	6	21/2	21/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		-3	75	Eb5	5	42
6	6	11	11	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		-3	39	Eb2	2	47
6	6	23/2	23/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-3	51	Eb3	3	45
6	6	23/2	23/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	43
7	7	12	12	1.0	0	0	2/4	3	2	1/4	1/4	1		1	55	G3	3	52
7	7	12	12	0.5	0	0	2/4	2	1	1/8	1/8	1		-3	63	Eb4	4	48
7	7	12	12	0.5	0	0	2/4	2	1	1/8	1/8	1		-2	70	Bb4	4	48
7	7	25/2	25/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		-2	58	Bb3	3	49
7	7	13	13	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	53
7	7	13	13	1.0	1/4	1/4	2/4	2	1	1/4	1/4	1		-2	58	Bb3	3	50
7	7	27/2	27/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	51
8	8	14	14	1.0	0	0	2/4	3	2	1/4	1/4	1		-1	53	F3	3	58
8	8	14	14	0.5	0	0	2/4	2	1	1/8	1/8	1		2	62	D4	4	54
8	8	14	14	0.5	0	0	2/4	2	1	1/8	1/8	1		-4	68	Ab4	4	54
8	8	29/2	29/2	0.5	1/8	1/8	2/4	2	1	1/8	1/8	1		-2	58	Bb3	3	55
8	8	15	15	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		2	50	D3	3	59
8	8	15	15	1.0	1/4	1/4	2/4	2	1	1/4	1/4	1		-2	58	Bb3	3	56
8	8	31/2	31/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		-1	53	F3	3	57
9	9	16	16	1.0	0	0	2/4	3	2	1/4	1/4	1		-3	51	Eb3	3	65
9	9	16	16	0.5	0	0	2/4	2	1	1/8	1/8	1		-3	63	Eb4	4	60
9	9	16	16	0.5	0	0	2/4	2	1	1/8	1/8	1		1	67	G4	4	60
9	9	33/2	33/2	0.5	1/8	1/8	2/4	3	1	1/8	1/8	1		1	55	G3	3	63
9	9	33/2	33/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		-3	63	Eb4	4	61
9	9	33/2	33/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		-2	70	Bb4	4	61
9	9	33/2	33/2	1.0	1/8	1/8	2/4	2	1	1/4	1/4	1		-3	75	Eb5	5	61
9	9	17	17	1.0	1/4	1/4	2/4	3	2	1/4	1/4	1		3	45	A2	2	66
9	9	35/2	35/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		0	60	C4	4	64
9	9	35/2	35/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		-3	63	Eb4	4	62
9	9	35/2	35/2	0.5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	67	G4	4	62
10	10	18	18	1.0	0	0	2/4	3	2	1/4	1/4	1		-2	46	Bb2	2	72
