mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	9
1	1	0	0	1.0	0	0	4/4	4	1	1/4		1/4	1		-1	53	F3	3	9
1	1	0	0	1.0	0	0	4/4	4	1	1/4		1/4	1		2	62	D4	4	9
1	1	0	0	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	77	F5	5	0
1	1	1/2	1/2	1.0	1/8	1/8	4/4	3	1	1/4		1/4	1		-1	77	F5	5	1
1	1	1	1	1.0	1/4	1/4	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	10
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		-3	75	Eb5	5	2
1	1	2	2	1.0	1/2	1/2	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	11
1	1	2	2	0.5	1/2	1/2	4/4	3	2	1/8		1/8	1		-1	65	F4	4	6
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		2	74	D5	5	3
1	1	5/2	5/2	1.0	5/8	5/8	4/4	3	2	1/4		1/4	1		-1	65	F4	4	7
1	1	5/2	5/2	1.0	5/8	5/8	4/4	3	1	1/4		1/4	1		2	74	D5	5	4
1	1	3	3	1.0	3/4	3/4	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	12
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	2	1/8		1/8	1		-3	63	Eb4	4	8
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	5
2	2	4	4	0.5	0	0	4/4	4	2	1/8		1/8	1		-2	46	Bb2	2	30
2	2	4	4	0.25	0	0	4/4	3	1	1/16		1/16	1		-2	70	Bb4	4	13
2	2	17/4	17/4	0.25	1/16	1/16	4/4	3	1	1/16		1/16	1		3	69	A4	4	14
2	2	9/2	9/2	0.5	1/8	1/8	4/4	4	2	1/8		1/8	1		-2	58	Bb3	3	31
2	2	9/2	9/2	1.0	1/8	1/8	4/4	4	1	1/4		1/4	1		-2	58	Bb3	3	22
2	2	9/2	9/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		-2	70	Bb4	4	15
2	2	5	5	0.5	1/4	1/4	4/4	4	2	1/8		1/8	1		-3	51	Eb3	3	32
2	2	5	5	0.25	1/4	1/4	4/4	3	1	1/16		1/16	1		0	72	C5	5	16
2	2	21/4	21/4	0.25	5/16	5/16	4/4	3	1	1/16		1/16	1		-2	70	Bb4	4	17
2	2	11/2	11/2	0.5	3/8	3/8	4/4	4	2	1/8		1/8	1		-1	53	F3	3	33
2	2	11/2	11/2	0.5	3/8	3/8	4/4	4	1	1/8		1/8	1		3	57	A3	3	23
2	2	11/2	11/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	18
2	2	6	6	0.5	1/2	1/2	4/4	4	1	1/8		1/8	1		-2	46	Bb2	2	24
2	2	6	6	0.5	1/2	1/2	4/4	4	1	1/8		1/8	1		-2	58	Bb3	3	24
2	2	6	6	0.25	1/2	1/2	4/4	3	1	1/16		1/16	1		-1	65	F4	4	19
2	2	6	6	0.25	1/2	1/2	4/4	3	1	1/16		1/16	1		2	74	D5	5	19
2	2	25/4	25/4	0.25	9/16	9/16	4/4	3	1	1/16		1/16	1		-3	63	Eb4	4	20
2	2	25/4	25/4	0.25	9/16	9/16	4/4	3	1	1/16		1/16	1		0	72	C5	5	20
2	2	13/2	13/2	0.5	5/8	5/8	4/4	4	1	1/8		1/8	1		1	55	G3	3	25
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		2	62	D4	4	21
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8		1/8	1		-2	70	Bb4	4	21
2	2	7	7	0.25	3/4	3/4	4/4	4	1	1/16		1/16	1		-1	53	F3	3	26
2	2	29/4	29/4	0.25	13/16	13/16	4/4	4	1	1/16		1/16	1		-3	51	Eb3	3	27
2	2	15/2	15/2	0.25	7/8	7/8	4/4	4	1	1/16		1/16	1		2	50	D3	3	28
2	2	31/4	31/4	0.25	15/16	15/16	4/4	4	1	1/16		1/16	1		0	48	C3	3	29
3	3	8	8	1.0	0	0	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	43
3	3	8	8	1.0	0	0	4/4	4	1	1/4		1/4	1		-1	53	F3	3	43
3	3	8	8	1.0	0	0	4/4	4	1	1/4		1/4	1		2	62	D4	4	43
3	3	8	8	0.5	0	0	4/4	3	1	1/8		1/8	1		-1	77	F5	5	34
3	3	17/2	17/2	1.0	1/8	1/8	4/4	3	1	1/4		1/4	1		-1	77	F5	5	35
3	3	9	9	1.0	1/4	1/4	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	44
3	3	19/2	19/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		-3	75	Eb5	5	36
3	3	10	10	1.0	1/2	1/2	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	45
3	3	10	10	0.5	1/2	1/2	4/4	3	2	1/8		1/8	1		-1	65	F4	4	40
3	3	10	10	0.5	1/2	1/2	4/4	3	1	1/8		1/8	1		2	74	D5	5	37
3	3	21/2	21/2	1.0	5/8	5/8	4/4	3	2	1/4		1/4	1		-1	65	F4	4	41
3	3	21/2	21/2	1.0	5/8	5/8	4/4	3	1	1/4		1/4	1		2	74	D5	5	38
3	3	11	11	1.0	3/4	3/4	4/4	4	1	1/4		1/4	1		-2	46	Bb2	2	46
3	3	23/2	23/2	0.5	7/8	7/8	4/4	3	2	1/8		1/8	1		-3	63	Eb4	4	42
3	3	23/2	23/2	0.5	7/8	7/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	39
4	4	12	12	0.5	0	0	4/4	4	2	1/8		1/8	1		-2	46	Bb2	2	65
4	4	12	12	1.0	0	0	4/4	3	2	1/4		1/4	1		2	62	D4	4	57
4	4	12	12	0.25	0	0	4/4	3	1	1/16		1/16	1		-2	70	Bb4	4	47
4	4	49/4	49/4	0.25	1/16	1/16	4/4	3	1	1/16		1/16	1		3	69	A4	4	48
4	4	25/2	25/2	0.5	1/8	1/8	4/4	4	2	1/8		1/8	1		-2	58	Bb3	3	66
4	4	25/2	25/2	1.0	1/8	1/8	4/4	4	1	1/4		1/4	1		-2	58	Bb3	3	61
4	4	25/2	25/2	0.5	1/8	1/8	4/4	3	1	1/8		1/8	1		-2	70	Bb4	4	49
4	4	13	13	0.5	1/4	1/4	4/4	4	2	1/8		1/8	1		-3	51	Eb3	3	67
4	4	13	13	0.5	1/4	1/4	4/4	3	2	1/8		1/8	1		1	67	G4	4	58
4	4	13	13	0.25	1/4	1/4	4/4	3	1	1/16		1/16	1		0	72	C5	5	50
4	4	53/4	53/4	0.25	5/16	5/16	4/4	3	1	1/16		1/16	1		-2	70	Bb4	4	51
4	4	27/2	27/2	0.5	3/8	3/8	4/4	4	2	1/8		1/8	1		-1	53	F3	3	68
4	4	27/2	27/2	0.5	3/8	3/8	4/4	4	1	1/8		1/8	1		3	57	A3	3	62
4	4	27/2	27/2	0.5	3/8	3/8	4/4	3	2	1/8		1/8	1		-1	65	F4	4	59
4	4	27/2	27/2	0.5	3/8	3/8	4/4	3	1	1/8		1/8	1		0	72	C5	5	52
4	4	14	14	0.5	1/2	1/2	4/4	4	2	1/8		1/8	1		-2	46	Bb2	2	69
4	4	14	14	1.0	1/2	1/2	4/4	4	1	1/4		1/4	1		-2	58	Bb3	3	63
4	4	14	14	1.0	1/2	1/2	4/4	3	2	1/4		1/4	1		-1	65	F4	4	60
4	4	14	14	0.25	1/2	1/2	4/4	3	1	1/16		1/16	1		2	74	D5	5	53
4	4	57/4	57/4	0.25	9/16	9/16	4/4	3	1	1/16		1/16	1		0	72	C5	5	54
